round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,iid,,1,0,0,2.300247758102417,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,iid,,1,1,0,5.673503403796255,0.5033,0.9793734189531037,0.0,-0.9780112862424596,0.17383254474387985,0.9780112862424596,,11957200,239144,25
2,fedavg,mnist,50,iid,,1,0,0,8.089247203864343,0.5055,0.9836544074722708,0.0,-0.004280988519167139,0.17383254474387985,0.9822922747616267,,23914400,239144,25
3,fedavg,mnist,50,iid,,1,0,0,8.320884784795158,0.5075,0.9875462152169683,0.0,-0.0038918077446974397,0.17383254474387985,0.9861840825063242,,35871600,239144,25
4,fedavg,mnist,50,iid,,1,0,0,8.736248740705616,0.5083,0.9891029383148473,0.0,-0.0015567230978790203,0.17383254474387985,0.9877408056042032,,47828800,239144,25
5,fedavg,mnist,50,iid,,1,0,0,8.70685335941856,0.5089,0.9902704806382565,0.0,-0.0011675423234092097,0.17383254474387985,0.9889083479276124,,59786000,239144,25
6,fedavg,mnist,50,iid,,1,0,0,9.3511004287871,0.5101,0.9926055652850749,0.0,-0.0023350846468184194,0.17383254474387985,0.9912434325744308,,71743200,239144,25
7,fedavg,mnist,50,iid,,1,0,0,8.848302364555549,0.5099,0.9922163845106052,0.0,0.00038918077446969956,0.17383254474387985,0.9908542517999611,,83700400,239144,25
8,fedavg,mnist,50,iid,,1,0,0,9.066213450902875,0.5106,0.9935785172212492,0.0,-0.0009729519361743044,0.17383254474387985,0.9922163845106051,,95657600,239144,25
9,fedavg,mnist,50,iid,,1,0,0,9.120047494699993,0.5109,0.9941622883829538,0.0,-0.0005837711617046049,0.17383254474387985,0.9928001556723097,,107614800,239144,25
10,fedavg,mnist,50,iid,,1,0,1,9.266394252064485,0.5109,0.9941622883829538,0.0,0.0,0.17383254474387985,0.9928001556723097,,119572000,239144,25
11,fedavg,mnist,50,iid,,2,1,0,11.350247760125995,0.4683,0.0,0.9633820201604608,0.9941622883829538,-0.7895494754165809,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,iid,,2,0,0,13.743672127267345,0.4735,0.0,0.974079407529315,0.9941622883829538,-0.010697387368854172,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,iid,,2,0,0,14.539331232381146,0.4758,0.0,0.9788109442501542,0.9941622883829538,-0.004731536720839258,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,iid,,2,0,0,14.705120078219053,0.4774,0.0,0.9821024480559556,0.9941622883829538,-0.0032915038058013435,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,iid,,2,0,0,15.295640720900801,0.4784,0.0,0.9841596379345814,0.9941622883829538,-0.002057189878625798,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,iid,,2,0,0,15.680052671437059,0.4787,0.0,0.984776794898169,0.9941622883829538,-0.0006171569635876617,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,iid,,2,0,0,15.634341556547314,0.4786,0.0,0.9845710759103066,0.9941622883829538,0.00020571898786247989,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,iid,,2,0,0,15.819927588353947,0.4794,0.0,0.9862168278132072,0.9941622883829538,-0.0014400329150381364,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,iid,,2,0,0,16.104093722684272,0.4799,0.0,0.98724542275252,0.9941622883829538,-0.0010285949393128435,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,iid,,2,0,1,16.084336665558315,0.4798,0.0,0.9870397037646574,0.9941622883829538,0.0002057189878625909,-0.0013621327106440942,,239144000,239144,25
