round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,fedavg,mnist,50,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,fedavg,mnist,50,iid,,1,1,0,5.675261845383048,0.5032,0.9791788285658688,0.0,-0.9778166958552247,0.17383254474387985,0.9778166958552247,,11957200,239144,25
2,fedavg,mnist,50,iid,,1,0,0,8.197244160932163,0.5054,0.983459817085036,0.0,-0.00428098851916725,0.17383254474387985,0.9820976843743919,,23914400,239144,25
3,fedavg,mnist,50,iid,,1,0,0,8.473188123700279,0.5071,0.9867678536680288,0.0,-0.003308036582992724,0.17383254474387985,0.9854057209573847,,35871600,239144,25
4,fedavg,mnist,50,iid,,1,0,0,8.91507438011705,0.5083,0.9891029383148473,0.0,-0.0023350846468185305,0.17383254474387985,0.9877408056042032,,47828800,239144,25
5,fedavg,mnist,50,iid,,1,0,0,8.773115089124197,0.5091,0.9906596614127262,0.0,-0.0015567230978789093,0.17383254474387985,0.9892975287020821,,59786000,239144,25
6,fedavg,mnist,50,iid,,1,0,0,9.461901720072428,0.5101,0.9926055652850749,0.0,-0.0019459038723487199,0.17383254474387985,0.9912434325744308,,71743200,239144,25
7,fedavg,mnist,50,iid,,1,0,0,8.871220181271347,0.5099,0.9922163845106052,0.0,0.00038918077446969956,0.17383254474387985,0.9908542517999611,,83700400,239144,25
8,fedavg,mnist,50,iid,,1,0,0,9.141908103234304,0.5106,0.9935785172212492,0.0,-0.0009729519361743044,0.17383254474387985,0.9922163845106051,,95657600,239144,25
9,fedavg,mnist,50,iid,,1,0,0,9.191023805492232,0.5109,0.9941622883829538,0.0,-0.0005837711617046049,0.17383254474387985,0.9928001556723097,,107614800,239144,25
10,fedavg,mnist,50,iid,,1,0,1,9.349294616925334,0.5109,0.9941622883829538,0.0,0.0,0.17383254474387985,0.9928001556723097,,119572000,239144,25
11,fedavg,mnist,50,iid,,2,1,0,11.378755049970001,0.4682,0.0,0.9631763011725982,0.9941622883829538,-0.7893437564287183,-0.0013621327106440942,,131529200,239144,25
12,fedavg,mnist,50,iid,,2,0,0,13.839620331966877,0.4738,0.0,0.9746965644929027,0.9941622883829538,-0.011520263320304425,-0.0013621327106440942,,143486400,239144,25
13,fedavg,mnist,50,iid,,2,0,0,14.646087450118829,0.4758,0.0,0.9788109442501542,0.9941622883829538,-0.004114379757251596,-0.0013621327106440942,,155443600,239144,25
14,fedavg,mnist,50,iid,,2,0,0,14.80943689708016,0.4774,0.0,0.9821024480559556,0.9941622883829538,-0.0032915038058013435,-0.0013621327106440942,,167400800,239144,25
15,fedavg,mnist,50,iid,,2,0,0,15.41277947899457,0.4786,0.0,0.9845710759103066,0.9941622883829538,-0.00246862785435098,-0.0013621327106440942,,179358000,239144,25
16,fedavg,mnist,50,iid,,2,0,0,15.810183997091778,0.4786,0.0,0.9845710759103066,0.9941622883829538,0.0,-0.0013621327106440942,,191315200,239144,25
17,fedavg,mnist,50,iid,,2,0,0,15.75640865360899,0.4787,0.0,0.984776794898169,0.9941622883829538,-0.00020571898786247989,-0.0013621327106440942,,203272400,239144,25
18,fedavg,mnist,50,iid,,2,0,0,15.952669537425932,0.4794,0.0,0.9862168278132072,0.9941622883829538,-0.0014400329150381364,-0.0013621327106440942,,215229600,239144,25
19,fedavg,mnist,50,iid,,2,0,0,16.221476897580644,0.4798,0.0,0.9870397037646574,0.9941622883829538,-0.0008228759514502526,-0.0013621327106440942,,227186800,239144,25
20,fedavg,mnist,50,iid,,2,0,1,16.236097762280064,0.4801,0.0,0.9876568607282452,0.9941622883829538,-0.0006171569635877727,-0.0013621327106440942,,239144000,239144,25
