round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,100,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,flwf2,cifar10,100,dirichlet,0.01,1,1,0,5.487875430679321,0.1517,0.3034,0.0,-0.2514,0.1484,0.2514,,24144800,241448,50
2,flwf2,cifar10,100,dirichlet,0.01,1,0,0,5.254132579421997,0.1,0.2,0.0,0.10339999999999999,0.1484,0.14800000000000002,,48289600,241448,50
3,flwf2,cifar10,100,dirichlet,0.01,1,0,0,2.7348545248031617,0.1,0.2,0.0,0.10339999999999999,0.1484,0.14800000000000002,,72434400,241448,50
4,flwf2,cifar10,100,dirichlet,0.01,1,0,0,48.82863149719238,0.1,0.2,0.0,0.10339999999999999,0.1484,0.14800000000000002,,96579200,241448,50
5,flwf2,cifar10,100,dirichlet,0.01,1,0,0,4.992697926712036,0.1013,0.2026,0.0,0.1008,0.1484,0.1506,,120724000,241448,50
6,flwf2,cifar10,100,dirichlet,0.01,1,0,0,4.54031192817688,0.1001,0.2002,0.0,0.10320000000000001,0.1484,0.1482,,144868800,241448,50
7,flwf2,cifar10,100,dirichlet,0.01,1,0,0,72.85312886657715,0.1002,0.2004,0.0,0.10300000000000001,0.1484,0.1484,,169013600,241448,50
8,flwf2,cifar10,100,dirichlet,0.01,1,0,0,4.7452875423431395,0.1005,0.201,0.0,0.10239999999999999,0.1484,0.14900000000000002,,193158400,241448,50
9,flwf2,cifar10,100,dirichlet,0.01,1,0,0,3.7606925172805785,0.1196,0.2392,0.0,0.06420000000000001,0.1484,0.1872,,217303200,241448,50
10,flwf2,cifar10,100,dirichlet,0.01,1,0,1,11.554311614990235,0.0989,0.1978,0.0,0.1056,0.1484,0.1458,,241448000,241448,50
11,flwf2,cifar10,100,dirichlet,0.01,2,1,0,10.365930605316162,0.0991,0.1982,0.0,0.10520000000000002,0.1484,0.1462,,265592800,241448,50
12,flwf2,cifar10,100,dirichlet,0.01,2,0,0,9.679772295379639,0.0993,0.1986,0.0,0.1048,0.1484,0.1466,,289737600,241448,50
13,flwf2,cifar10,100,dirichlet,0.01,2,0,0,9.241752017211914,0.0994,0.1988,0.0,0.1046,0.1484,0.1468,,313882400,241448,50
14,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.922664665985108,0.0994,0.1988,0.0,0.1046,0.1484,0.1468,,338027200,241448,50
15,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.683533236694336,0.0993,0.1986,0.0,0.1048,0.1484,0.1466,,362172000,241448,50
16,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.475908961486816,0.0993,0.1986,0.0,0.1048,0.1484,0.1466,,386316800,241448,50
17,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.328001097106934,0.0992,0.1984,0.0,0.10500000000000001,0.1484,0.1464,,410461600,241448,50
18,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.191614929199218,0.0993,0.1986,0.0,0.1048,0.1484,0.1466,,434606400,241448,50
19,flwf2,cifar10,100,dirichlet,0.01,2,0,0,8.069003810882569,0.0994,0.1988,0.0,0.1046,0.1484,0.1468,,458751200,241448,50
20,flwf2,cifar10,100,dirichlet,0.01,2,0,1,7.951856142425537,0.0994,0.1988,0.0,0.1046,0.1484,0.1468,,482896000,241448,50
