round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,100,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,flwf2,cifar10,100,dirichlet,0.1,1,1,0,2.5065099026679993,0.1764,0.3528,0.0,-0.3008,0.1484,0.3008,,24144800,241448,50
2,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.784828401374817,0.2283,0.4566,0.0,-0.1038,0.1484,0.4046,,48289600,241448,50
3,flwf2,cifar10,100,dirichlet,0.1,1,0,0,2.7274578263282776,0.1512,0.3024,0.0,0.1542,0.1484,0.2504,,72434400,241448,50
4,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.1081357162475585,0.2527,0.5054,0.0,-0.048799999999999955,0.1484,0.45339999999999997,,96579200,241448,50
5,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.5665980165481566,0.2352,0.4704,0.0,0.034999999999999976,0.1484,0.4184,,120724000,241448,50
6,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.490160324764252,0.2433,0.4866,0.0,0.018799999999999983,0.1484,0.4346,,144868800,241448,50
7,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.3739358253479006,0.245,0.49,0.0,0.01539999999999997,0.1484,0.438,,169013600,241448,50
8,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.338363835334778,0.2641,0.5282,0.0,-0.022800000000000042,0.1484,0.4762,,193158400,241448,50
9,flwf2,cifar10,100,dirichlet,0.1,1,0,0,3.5483226330757143,0.3151,0.6302,0.0,-0.10199999999999998,0.1484,0.5781999999999999,,217303200,241448,50
10,flwf2,cifar10,100,dirichlet,0.1,1,0,1,3.993011380290985,0.3181,0.6362,0.0,-0.006000000000000005,0.1484,0.5841999999999999,,241448000,241448,50
11,flwf2,cifar10,100,dirichlet,0.1,2,1,0,3.9641512530326843,0.318,0.636,0.0,0.00019999999999997797,0.1484,0.584,,265592800,241448,50
12,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.936511015987396,0.3181,0.6362,0.0,0.0,0.1484,0.5841999999999999,,289737600,241448,50
13,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.9086437923908233,0.318,0.636,0.0,0.00019999999999997797,0.1484,0.584,,313882400,241448,50
14,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.881413417482376,0.318,0.636,0.0,0.00019999999999997797,0.1484,0.584,,338027200,241448,50
15,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.855444349718094,0.3181,0.6362,0.0,0.0,0.1484,0.5841999999999999,,362172000,241448,50
16,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.8298944275379183,0.3179,0.6358,0.0,0.00039999999999995595,0.1484,0.5838,,386316800,241448,50
17,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.8048474342823027,0.3178,0.6356,0.0,0.0005999999999999339,0.1484,0.5836,,410461600,241448,50
18,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.780135066127777,0.3176,0.6352,0.0,0.0010000000000000009,0.1484,0.5831999999999999,,434606400,241448,50
19,flwf2,cifar10,100,dirichlet,0.1,2,0,0,3.756927629327774,0.3177,0.6354,0.0,0.0008000000000000229,0.1484,0.5833999999999999,,458751200,241448,50
20,flwf2,cifar10,100,dirichlet,0.1,2,0,1,3.734151918697357,0.3178,0.6356,0.0,0.0005999999999999339,0.1484,0.5836,,482896000,241448,50
