round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,100,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,flwf2,cifar10,100,dirichlet,0.5,1,1,0,2.6048136009216307,0.2018,0.4036,0.0,-0.3516,0.1484,0.3516,,24144800,241448,50
2,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.448722992706299,0.2876,0.5752,0.0,-0.17160000000000003,0.1484,0.5232,,48289600,241448,50
3,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.5544462874412535,0.297,0.594,0.0,-0.018799999999999928,0.1484,0.5419999999999999,,72434400,241448,50
4,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.706825211715698,0.3057,0.6114,0.0,-0.017400000000000082,0.1484,0.5594,,96579200,241448,50
5,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.7681325588226318,0.3105,0.621,0.0,-0.009599999999999942,0.1484,0.569,,120724000,241448,50
6,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.092350001335144,0.3128,0.6256,0.0,-0.0046000000000000485,0.1484,0.5736,,144868800,241448,50
7,flwf2,cifar10,100,dirichlet,0.5,1,0,0,3.9663883046150206,0.3241,0.6482,0.0,-0.022599999999999953,0.1484,0.5962,,169013600,241448,50
8,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.092971934938431,0.3304,0.6608,0.0,-0.012600000000000056,0.1484,0.6088,,193158400,241448,50
9,flwf2,cifar10,100,dirichlet,0.5,1,0,0,4.203849271678925,0.3179,0.6358,0.0,0.025000000000000022,0.1484,0.5838,,217303200,241448,50
10,flwf2,cifar10,100,dirichlet,0.5,1,0,1,4.116143013334274,0.3309,0.6618,0.0,-0.0010000000000000009,0.1484,0.6098,,241448000,241448,50
11,flwf2,cifar10,100,dirichlet,0.5,2,1,0,4.083437309074402,0.3311,0.6622,0.0,-0.00039999999999995595,0.1484,0.6102,,265592800,241448,50
12,flwf2,cifar10,100,dirichlet,0.5,2,0,0,4.052302761459351,0.3309,0.6618,0.0,0.00039999999999995595,0.1484,0.6098,,289737600,241448,50
13,flwf2,cifar10,100,dirichlet,0.5,2,0,0,4.022496966171265,0.3312,0.6624,0.0,-0.00019999999999997797,0.1484,0.6103999999999999,,313882400,241448,50
14,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.9924710155963896,0.3315,0.663,0.0,-0.0006000000000000449,0.1484,0.611,,338027200,241448,50
15,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.9637197085380556,0.3312,0.6624,0.0,0.0006000000000000449,0.1484,0.6103999999999999,,362172000,241448,50
16,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.935318905544281,0.3309,0.6618,0.0,0.0011999999999999789,0.1484,0.6098,,386316800,241448,50
17,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.9084191853523254,0.3311,0.6622,0.0,0.0008000000000000229,0.1484,0.6102,,410461600,241448,50
18,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.881592719936371,0.3308,0.6616,0.0,0.0014000000000000679,0.1484,0.6095999999999999,,434606400,241448,50
19,flwf2,cifar10,100,dirichlet,0.5,2,0,0,3.8549929946899413,0.3304,0.6608,0.0,0.0021999999999999797,0.1484,0.6088,,458751200,241448,50
20,flwf2,cifar10,100,dirichlet,0.5,2,0,1,3.8291063068389892,0.3301,0.6602,0.0,0.0028000000000000247,0.1484,0.6082,,482896000,241448,50
