round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,100,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,50
1,flwf2,cifar10,100,dirichlet,1.0,1,1,0,2.5681349473953246,0.257,0.514,0.0,-0.462,0.1484,0.462,,24144800,241448,50
2,flwf2,cifar10,100,dirichlet,1.0,1,0,0,3.5959614292621613,0.2893,0.5786,0.0,-0.06459999999999999,0.1484,0.5266,,48289600,241448,50
3,flwf2,cifar10,100,dirichlet,1.0,1,0,0,3.8420968082427978,0.305,0.61,0.0,-0.031399999999999983,0.1484,0.5579999999999999,,72434400,241448,50
4,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.035317009067535,0.3188,0.6376,0.0,-0.027599999999999958,0.1484,0.5855999999999999,,96579200,241448,50
5,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.034631651687622,0.3168,0.6336,0.0,0.0039999999999998925,0.1484,0.5816,,120724000,241448,50
6,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.232813553571701,0.3203,0.6406,0.0,-0.0030000000000000027,0.1484,0.5885999999999999,,144868800,241448,50
7,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.082402305698395,0.3245,0.649,0.0,-0.008400000000000074,0.1484,0.597,,169013600,241448,50
8,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.191177451086045,0.3309,0.6618,0.0,-0.012800000000000034,0.1484,0.6098,,193158400,241448,50
9,flwf2,cifar10,100,dirichlet,1.0,1,0,0,4.067595493984222,0.3303,0.6606,0.0,0.0012000000000000899,0.1484,0.6085999999999999,,217303200,241448,50
10,flwf2,cifar10,100,dirichlet,1.0,1,0,1,4.2464863726615905,0.3375,0.675,0.0,-0.01319999999999999,0.1484,0.623,,241448000,241448,50
11,flwf2,cifar10,100,dirichlet,1.0,2,1,0,4.210664574289322,0.3371,0.6742,0.0,0.0008000000000000229,0.1484,0.6222,,265592800,241448,50
12,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.17685772857666,0.3372,0.6744,0.0,0.0006000000000000449,0.1484,0.6224,,289737600,241448,50
13,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.143846673488617,0.337,0.674,0.0,0.0010000000000000009,0.1484,0.622,,313882400,241448,50
14,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.111295143699646,0.3369,0.6738,0.0,0.0012000000000000899,0.1484,0.6217999999999999,,338027200,241448,50
15,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.0802825870990755,0.3366,0.6732,0.0,0.0018000000000000238,0.1484,0.6212,,362172000,241448,50
16,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.050063084316253,0.3367,0.6734,0.0,0.0016000000000000458,0.1484,0.6214,,386316800,241448,50
17,flwf2,cifar10,100,dirichlet,1.0,2,0,0,4.020112964630127,0.3364,0.6728,0.0,0.0022000000000000908,0.1484,0.6207999999999999,,410461600,241448,50
18,flwf2,cifar10,100,dirichlet,1.0,2,0,0,3.9912193395614626,0.3363,0.6726,0.0,0.0024000000000000687,0.1484,0.6205999999999999,,434606400,241448,50
19,flwf2,cifar10,100,dirichlet,1.0,2,0,0,3.962062455368042,0.3363,0.6726,0.0,0.0024000000000000687,0.1484,0.6205999999999999,,458751200,241448,50
20,flwf2,cifar10,100,dirichlet,1.0,2,0,1,3.934725745344162,0.3364,0.6728,0.0,0.0022000000000000908,0.1484,0.6207999999999999,,482896000,241448,50
