round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,10,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,flwf2,cifar10,10,dirichlet,0.01,1,1,0,3.8179781480789186,0.2056,0.4112,0.0,-0.3592,0.1484,0.3592,,2414480,241448,5
2,flwf2,cifar10,10,dirichlet,0.01,1,0,0,7.351989464187622,0.2232,0.4464,0.0,-0.03520000000000001,0.1484,0.39440000000000003,,4828960,241448,5
3,flwf2,cifar10,10,dirichlet,0.01,1,0,0,205.70370036621094,0.1,0.2,0.0,0.2464,0.1484,0.14800000000000002,,7243440,241448,5
4,flwf2,cifar10,10,dirichlet,0.01,1,0,0,11.73623936920166,0.0949,0.1898,0.0,0.25660000000000005,0.1484,0.1378,,9657920,241448,5
5,flwf2,cifar10,10,dirichlet,0.01,1,0,0,4.312584537124634,0.1382,0.2764,0.0,0.17000000000000004,0.1484,0.2244,,12072400,241448,5
6,flwf2,cifar10,10,dirichlet,0.01,1,0,0,16.436533728790284,0.1006,0.2012,0.0,0.24520000000000003,0.1484,0.1492,,14486880,241448,5
7,flwf2,cifar10,10,dirichlet,0.01,1,0,0,4.2764484395980835,0.1789,0.3578,0.0,0.08860000000000001,0.1484,0.3058,,16901360,241448,5
8,flwf2,cifar10,10,dirichlet,0.01,1,0,0,7.145499190139771,0.2281,0.4562,0.0,-0.009799999999999975,0.1484,0.4042,,19315840,241448,5
9,flwf2,cifar10,10,dirichlet,0.01,1,0,0,151.01082052001954,0.1,0.2,0.0,0.2562,0.1484,0.14800000000000002,,21730320,241448,5
10,flwf2,cifar10,10,dirichlet,0.01,1,0,1,174.82734981689453,0.1007,0.2014,0.0,0.2548,0.1484,0.1494,,24144800,241448,5
11,flwf2,cifar10,10,dirichlet,0.01,2,1,0,82.29130754394531,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,26559280,241448,5
12,flwf2,cifar10,10,dirichlet,0.01,2,0,0,48.4588068725586,0.1006,0.2012,0.0,0.255,0.1484,0.1492,,28973760,241448,5
13,flwf2,cifar10,10,dirichlet,0.01,2,0,0,40.57310368347168,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,31388240,241448,5
14,flwf2,cifar10,10,dirichlet,0.01,2,0,0,37.7934832611084,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,33802720,241448,5
15,flwf2,cifar10,10,dirichlet,0.01,2,0,0,35.00648797607422,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,36217200,241448,5
16,flwf2,cifar10,10,dirichlet,0.01,2,0,0,32.231844409179686,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,38631680,241448,5
17,flwf2,cifar10,10,dirichlet,0.01,2,0,0,29.996124002075195,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,41046160,241448,5
18,flwf2,cifar10,10,dirichlet,0.01,2,0,0,28.794441104125976,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,43460640,241448,5
19,flwf2,cifar10,10,dirichlet,0.01,2,0,0,27.811764335632326,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,45875120,241448,5
20,flwf2,cifar10,10,dirichlet,0.01,2,0,1,27.101763987731932,0.1004,0.2008,0.0,0.25539999999999996,0.1484,0.14880000000000002,,48289600,241448,5
