round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,10,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,flwf2,cifar10,10,dirichlet,0.1,1,1,0,2.6342973618507384,0.2305,0.461,0.0,-0.40900000000000003,0.1484,0.40900000000000003,,2414480,241448,5
2,flwf2,cifar10,10,dirichlet,0.1,1,0,0,4.774002935791016,0.2407,0.4814,0.0,-0.020399999999999974,0.1484,0.4294,,4828960,241448,5
3,flwf2,cifar10,10,dirichlet,0.1,1,0,0,4.633483689785003,0.1959,0.3918,0.0,0.08960000000000001,0.1484,0.3398,,7243440,241448,5
4,flwf2,cifar10,10,dirichlet,0.1,1,0,0,3.287763468122482,0.2758,0.5516,0.0,-0.07019999999999998,0.1484,0.4996,,9657920,241448,5
5,flwf2,cifar10,10,dirichlet,0.1,1,0,0,4.2543779733181,0.3037,0.6074,0.0,-0.05580000000000007,0.1484,0.5554,,12072400,241448,5
6,flwf2,cifar10,10,dirichlet,0.1,1,0,0,5.66510899848938,0.2388,0.4776,0.0,0.12980000000000003,0.1484,0.42560000000000003,,14486880,241448,5
7,flwf2,cifar10,10,dirichlet,0.1,1,0,0,5.71935241355896,0.2786,0.5572,0.0,0.05020000000000002,0.1484,0.5052,,16901360,241448,5
8,flwf2,cifar10,10,dirichlet,0.1,1,0,0,5.367480313396454,0.2959,0.5918,0.0,0.015600000000000058,0.1484,0.5398,,19315840,241448,5
9,flwf2,cifar10,10,dirichlet,0.1,1,0,0,6.5768301280975345,0.2816,0.5632,0.0,0.04420000000000002,0.1484,0.5112,,21730320,241448,5
10,flwf2,cifar10,10,dirichlet,0.1,1,0,1,4.2683542528152465,0.2717,0.5434,0.0,0.06400000000000006,0.1484,0.4914,,24144800,241448,5
11,flwf2,cifar10,10,dirichlet,0.1,2,1,0,4.225112627029419,0.2717,0.5434,0.0,0.06400000000000006,0.1484,0.4914,,26559280,241448,5
12,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.198971205329895,0.2717,0.5434,0.0,0.06400000000000006,0.1484,0.4914,,28973760,241448,5
13,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.157342397975921,0.2717,0.5434,0.0,0.06400000000000006,0.1484,0.4914,,31388240,241448,5
14,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.120865230894089,0.2718,0.5436,0.0,0.06380000000000008,0.1484,0.4916,,33802720,241448,5
15,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.0868909396648405,0.2718,0.5436,0.0,0.06380000000000008,0.1484,0.4916,,36217200,241448,5
16,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.052162876033783,0.2718,0.5436,0.0,0.06380000000000008,0.1484,0.4916,,38631680,241448,5
17,flwf2,cifar10,10,dirichlet,0.1,2,0,0,4.0153558407783505,0.2719,0.5438,0.0,0.0636000000000001,0.1484,0.49179999999999996,,41046160,241448,5
18,flwf2,cifar10,10,dirichlet,0.1,2,0,0,3.983680007171631,0.2719,0.5438,0.0,0.0636000000000001,0.1484,0.49179999999999996,,43460640,241448,5
19,flwf2,cifar10,10,dirichlet,0.1,2,0,0,3.955189916801453,0.2719,0.5438,0.0,0.0636000000000001,0.1484,0.49179999999999996,,45875120,241448,5
20,flwf2,cifar10,10,dirichlet,0.1,2,0,1,3.9224738139629363,0.2719,0.5438,0.0,0.0636000000000001,0.1484,0.49179999999999996,,48289600,241448,5
