round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,10,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,flwf2,cifar10,10,dirichlet,0.5,1,1,0,2.7076233839035035,0.2999,0.5998,0.0,-0.5478,0.1484,0.5478,,2414480,241448,5
2,flwf2,cifar10,10,dirichlet,0.5,1,0,0,4.093658214378357,0.3489,0.6978,0.0,-0.09799999999999998,0.1484,0.6457999999999999,,4828960,241448,5
3,flwf2,cifar10,10,dirichlet,0.5,1,0,0,4.51839473657608,0.3426,0.6852,0.0,0.012599999999999945,0.1484,0.6332,,7243440,241448,5
4,flwf2,cifar10,10,dirichlet,0.5,1,0,0,4.554182301235199,0.3715,0.743,0.0,-0.04520000000000002,0.1484,0.691,,9657920,241448,5
5,flwf2,cifar10,10,dirichlet,0.5,1,0,0,5.106213375711441,0.3789,0.7578,0.0,-0.014800000000000035,0.1484,0.7058,,12072400,241448,5
6,flwf2,cifar10,10,dirichlet,0.5,1,0,0,5.245083853197098,0.3782,0.7564,0.0,0.0014000000000000679,0.1484,0.7043999999999999,,14486880,241448,5
7,flwf2,cifar10,10,dirichlet,0.5,1,0,0,5.571713589262963,0.382,0.764,0.0,-0.006199999999999983,0.1484,0.712,,16901360,241448,5
8,flwf2,cifar10,10,dirichlet,0.5,1,0,0,5.71373070333004,0.3839,0.7678,0.0,-0.0038000000000000256,0.1484,0.7158,,19315840,241448,5
9,flwf2,cifar10,10,dirichlet,0.5,1,0,0,6.157255919671059,0.3937,0.7874,0.0,-0.01959999999999995,0.1484,0.7353999999999999,,21730320,241448,5
10,flwf2,cifar10,10,dirichlet,0.5,1,0,1,6.174253351855278,0.3932,0.7864,0.0,0.0010000000000000009,0.1484,0.7343999999999999,,24144800,241448,5
11,flwf2,cifar10,10,dirichlet,0.5,2,1,0,6.0644143326282505,0.3933,0.7866,0.0,0.0008000000000000229,0.1484,0.7345999999999999,,26559280,241448,5
12,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.962571161985397,0.3931,0.7862,0.0,0.0011999999999999789,0.1484,0.7342,,28973760,241448,5
13,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.86676990609169,0.3931,0.7862,0.0,0.0011999999999999789,0.1484,0.7342,,31388240,241448,5
14,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.771296476578712,0.3932,0.7864,0.0,0.0010000000000000009,0.1484,0.7343999999999999,,33802720,241448,5
15,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.685765642261505,0.3934,0.7868,0.0,0.0005999999999999339,0.1484,0.7348,,36217200,241448,5
16,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.601192619085312,0.3936,0.7872,0.0,0.00019999999999997797,0.1484,0.7352,,38631680,241448,5
17,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.5176600878238675,0.3934,0.7868,0.0,0.0005999999999999339,0.1484,0.7348,,41046160,241448,5
18,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.43945601632595,0.3936,0.7872,0.0,0.00019999999999997797,0.1484,0.7352,,43460640,241448,5
19,flwf2,cifar10,10,dirichlet,0.5,2,0,0,5.3679548795223235,0.3935,0.787,0.0,0.00039999999999995595,0.1484,0.735,,45875120,241448,5
20,flwf2,cifar10,10,dirichlet,0.5,2,0,1,5.295644850516319,0.3934,0.7868,0.0,0.0005999999999999339,0.1484,0.7348,,48289600,241448,5
