round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,10,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,flwf2,cifar10,10,dirichlet,1.0,1,1,0,3.0374476057052613,0.2993,0.5986,0.0,-0.5466,0.1484,0.5466,,2414480,241448,5
2,flwf2,cifar10,10,dirichlet,1.0,1,0,0,4.222855864191056,0.3369,0.6738,0.0,-0.07519999999999993,0.1484,0.6217999999999999,,4828960,241448,5
3,flwf2,cifar10,10,dirichlet,1.0,1,0,0,4.389819145679474,0.343,0.686,0.0,-0.0122000000000001,0.1484,0.634,,7243440,241448,5
4,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.278233080148697,0.333,0.666,0.0,0.020000000000000018,0.1484,0.614,,9657920,241448,5
5,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.283317353534699,0.3704,0.7408,0.0,-0.05479999999999996,0.1484,0.6888,,12072400,241448,5
6,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.569379959917068,0.3631,0.7262,0.0,0.014600000000000057,0.1484,0.6741999999999999,,14486880,241448,5
7,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.5457338142156605,0.3658,0.7316,0.0,0.009199999999999986,0.1484,0.6796,,16901360,241448,5
8,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.770380593538285,0.3883,0.7766,0.0,-0.03579999999999994,0.1484,0.7245999999999999,,19315840,241448,5
9,flwf2,cifar10,10,dirichlet,1.0,1,0,0,5.790826945257187,0.3806,0.7612,0.0,0.01539999999999997,0.1484,0.7091999999999999,,21730320,241448,5
10,flwf2,cifar10,10,dirichlet,1.0,1,0,1,5.774444500017166,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,24144800,241448,5
11,flwf2,cifar10,10,dirichlet,1.0,2,1,0,5.6915767526865,0.3829,0.7658,0.0,0.01079999999999992,0.1484,0.7138,,26559280,241448,5
12,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.612904253149033,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,28973760,241448,5
13,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.536568327379227,0.3829,0.7658,0.0,0.01079999999999992,0.1484,0.7138,,31388240,241448,5
14,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.464898822903633,0.3831,0.7662,0.0,0.010399999999999965,0.1484,0.7142,,33802720,241448,5
15,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.391985312104225,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,36217200,241448,5
16,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.325536832666397,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,38631680,241448,5
17,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.260016320753097,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,41046160,241448,5
18,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.197064676451683,0.383,0.766,0.0,0.010599999999999943,0.1484,0.714,,43460640,241448,5
19,flwf2,cifar10,10,dirichlet,1.0,2,0,0,5.134885386013985,0.3832,0.7664,0.0,0.010199999999999987,0.1484,0.7143999999999999,,45875120,241448,5
20,flwf2,cifar10,10,dirichlet,1.0,2,0,1,5.077463053369522,0.3834,0.7668,0.0,0.00979999999999992,0.1484,0.7148,,48289600,241448,5
