round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,10,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,5
1,flwf2,cifar10,10,iid,,1,1,0,2.893958448410034,0.3299,0.6598,0.0,-0.6078,0.1484,0.6078,,2414480,241448,5
2,flwf2,cifar10,10,iid,,1,0,0,3.6628406147956847,0.3584,0.7168,0.0,-0.05699999999999994,0.1484,0.6648,,4828960,241448,5
3,flwf2,cifar10,10,iid,,1,0,0,4.127877323198319,0.3678,0.7356,0.0,-0.01880000000000004,0.1484,0.6836,,7243440,241448,5
4,flwf2,cifar10,10,iid,,1,0,0,4.475544635391235,0.3789,0.7578,0.0,-0.022199999999999998,0.1484,0.7058,,9657920,241448,5
5,flwf2,cifar10,10,iid,,1,0,0,4.701150576877594,0.3868,0.7736,0.0,-0.015799999999999925,0.1484,0.7215999999999999,,12072400,241448,5
6,flwf2,cifar10,10,iid,,1,0,0,5.157046324419976,0.3883,0.7766,0.0,-0.0030000000000000027,0.1484,0.7245999999999999,,14486880,241448,5
7,flwf2,cifar10,10,iid,,1,0,0,5.133579055213929,0.3953,0.7906,0.0,-0.014000000000000012,0.1484,0.7385999999999999,,16901360,241448,5
8,flwf2,cifar10,10,iid,,1,0,0,5.35601932759285,0.3995,0.799,0.0,-0.008400000000000074,0.1484,0.747,,19315840,241448,5
9,flwf2,cifar10,10,iid,,1,0,0,5.7524406756401065,0.3993,0.7986,0.0,0.00040000000000006697,0.1484,0.7465999999999999,,21730320,241448,5
10,flwf2,cifar10,10,iid,,1,0,1,5.840895503664017,0.4011,0.8022,0.0,-0.0031999999999999806,0.1484,0.7502,,24144800,241448,5
11,flwf2,cifar10,10,iid,,2,1,0,5.755827112054825,0.4012,0.8024,0.0,-0.00019999999999997797,0.1484,0.7504,,26559280,241448,5
12,flwf2,cifar10,10,iid,,2,0,0,5.673495483112335,0.4012,0.8024,0.0,0.0,0.1484,0.7504,,28973760,241448,5
13,flwf2,cifar10,10,iid,,2,0,0,5.594360356736183,0.4013,0.8026,0.0,-0.00019999999999997797,0.1484,0.7505999999999999,,31388240,241448,5
14,flwf2,cifar10,10,iid,,2,0,0,5.518002770853043,0.4014,0.8028,0.0,-0.00019999999999997797,0.1484,0.7507999999999999,,33802720,241448,5
15,flwf2,cifar10,10,iid,,2,0,0,5.444336410117149,0.4013,0.8026,0.0,0.00019999999999997797,0.1484,0.7505999999999999,,36217200,241448,5
16,flwf2,cifar10,10,iid,,2,0,0,5.373577442884446,0.4013,0.8026,0.0,0.00019999999999997797,0.1484,0.7505999999999999,,38631680,241448,5
17,flwf2,cifar10,10,iid,,2,0,0,5.304640445208549,0.4012,0.8024,0.0,0.00039999999999995595,0.1484,0.7504,,41046160,241448,5
18,flwf2,cifar10,10,iid,,2,0,0,5.237766123914718,0.4011,0.8022,0.0,0.0005999999999999339,0.1484,0.7502,,43460640,241448,5
19,flwf2,cifar10,10,iid,,2,0,0,5.172742349028588,0.4011,0.8022,0.0,0.0005999999999999339,0.1484,0.7502,,45875120,241448,5
20,flwf2,cifar10,10,iid,,2,0,1,5.109856788301468,0.4011,0.8022,0.0,0.0005999999999999339,0.1484,0.7502,,48289600,241448,5
