round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,50,dirichlet,0.01,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,flwf2,cifar10,50,dirichlet,0.01,1,1,0,3.6643868284225465,0.1346,0.2692,0.0,-0.2172,0.1484,0.2172,,12072400,241448,25
2,flwf2,cifar10,50,dirichlet,0.01,1,0,0,6.950096422958374,0.1,0.2,0.0,0.06919999999999998,0.1484,0.14800000000000002,,24144800,241448,25
3,flwf2,cifar10,50,dirichlet,0.01,1,0,0,3.981748400878906,0.1465,0.293,0.0,-0.023799999999999988,0.1484,0.241,,36217200,241448,25
4,flwf2,cifar10,50,dirichlet,0.01,1,0,0,4.086579863739014,0.1034,0.2068,0.0,0.08619999999999997,0.1484,0.15480000000000002,,48289600,241448,25
5,flwf2,cifar10,50,dirichlet,0.01,1,0,0,10.995318283081055,0.1002,0.2004,0.0,0.09259999999999999,0.1484,0.1484,,60362000,241448,25
6,flwf2,cifar10,50,dirichlet,0.01,1,0,0,8.066329103851318,0.1,0.2,0.0,0.09299999999999997,0.1484,0.14800000000000002,,72434400,241448,25
7,flwf2,cifar10,50,dirichlet,0.01,1,0,0,6.128986144256592,0.1008,0.2016,0.0,0.09139999999999998,0.1484,0.1496,,84506800,241448,25
8,flwf2,cifar10,50,dirichlet,0.01,1,0,0,26.510126649475097,0.1,0.2,0.0,0.09299999999999997,0.1484,0.14800000000000002,,96579200,241448,25
9,flwf2,cifar10,50,dirichlet,0.01,1,0,0,10.283538122558594,0.1,0.2,0.0,0.09299999999999997,0.1484,0.14800000000000002,,108651600,241448,25
10,flwf2,cifar10,50,dirichlet,0.01,1,0,1,7.942710419845581,0.1119,0.2238,0.0,0.06919999999999998,0.1484,0.1718,,120724000,241448,25
11,flwf2,cifar10,50,dirichlet,0.01,2,1,0,7.867949477386475,0.1119,0.2238,0.0,0.06919999999999998,0.1484,0.1718,,132796400,241448,25
12,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.786462024688721,0.1117,0.2234,0.0,0.0696,0.1484,0.1714,,144868800,241448,25
13,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.704316811752319,0.1116,0.2232,0.0,0.06979999999999997,0.1484,0.17120000000000002,,156941200,241448,25
14,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.625660125732422,0.1115,0.223,0.0,0.06999999999999998,0.1484,0.171,,169013600,241448,25
15,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.54808405380249,0.1113,0.2226,0.0,0.07039999999999999,0.1484,0.1706,,181086000,241448,25
16,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.489826334381103,0.1113,0.2226,0.0,0.07039999999999999,0.1484,0.1706,,193158400,241448,25
17,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.417974565505982,0.1112,0.2224,0.0,0.0706,0.1484,0.1704,,205230800,241448,25
18,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.361954724121094,0.1112,0.2224,0.0,0.0706,0.1484,0.1704,,217303200,241448,25
19,flwf2,cifar10,50,dirichlet,0.01,2,0,0,7.302132949829102,0.1113,0.2226,0.0,0.07039999999999999,0.1484,0.1706,,229375600,241448,25
20,flwf2,cifar10,50,dirichlet,0.01,2,0,1,7.245289515686035,0.1113,0.2226,0.0,0.07039999999999999,0.1484,0.1706,,241448000,241448,25
