round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,50,dirichlet,0.1,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,flwf2,cifar10,50,dirichlet,0.1,1,1,0,2.487926823234558,0.1344,0.2688,0.0,-0.2168,0.1484,0.2168,,12072400,241448,25
2,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.0055177978515624,0.2581,0.5162,0.0,-0.2474,0.1484,0.4642,,24144800,241448,25
3,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.490071624517441,0.2774,0.5548,0.0,-0.03859999999999997,0.1484,0.5027999999999999,,36217200,241448,25
4,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.474780449962616,0.2685,0.537,0.0,0.017799999999999927,0.1484,0.48500000000000004,,48289600,241448,25
5,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.3033180822372437,0.2527,0.5054,0.0,0.0494,0.1484,0.45339999999999997,,60362000,241448,25
6,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.4847774742603304,0.3103,0.6206,0.0,-0.06580000000000008,0.1484,0.5686,,72434400,241448,25
7,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.889603214263916,0.3289,0.6578,0.0,-0.03720000000000001,0.1484,0.6058,,84506800,241448,25
8,flwf2,cifar10,50,dirichlet,0.1,1,0,0,4.127342789268494,0.2462,0.4924,0.0,0.16540000000000005,0.1484,0.4404,,96579200,241448,25
9,flwf2,cifar10,50,dirichlet,0.1,1,0,0,3.6030228199958803,0.3337,0.6674,0.0,-0.009599999999999942,0.1484,0.6154,,108651600,241448,25
10,flwf2,cifar10,50,dirichlet,0.1,1,0,1,4.332989324188232,0.2896,0.5792,0.0,0.08819999999999995,0.1484,0.5272,,120724000,241448,25
11,flwf2,cifar10,50,dirichlet,0.1,2,1,0,4.297253697395325,0.2895,0.579,0.0,0.08840000000000003,0.1484,0.5269999999999999,,132796400,241448,25
12,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.263638050746918,0.2895,0.579,0.0,0.08840000000000003,0.1484,0.5269999999999999,,144868800,241448,25
13,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.231045382404328,0.2896,0.5792,0.0,0.08819999999999995,0.1484,0.5272,,156941200,241448,25
14,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.200178820228577,0.2896,0.5792,0.0,0.08819999999999995,0.1484,0.5272,,169013600,241448,25
15,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.169155648708344,0.2897,0.5794,0.0,0.08799999999999997,0.1484,0.5274,,181086000,241448,25
16,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.141519151306152,0.2894,0.5788,0.0,0.08860000000000001,0.1484,0.5267999999999999,,193158400,241448,25
17,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.114752518081665,0.2892,0.5784,0.0,0.08899999999999997,0.1484,0.5264,,205230800,241448,25
18,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.082737237262726,0.2892,0.5784,0.0,0.08899999999999997,0.1484,0.5264,,217303200,241448,25
19,flwf2,cifar10,50,dirichlet,0.1,2,0,0,4.054346655750274,0.2892,0.5784,0.0,0.08899999999999997,0.1484,0.5264,,229375600,241448,25
20,flwf2,cifar10,50,dirichlet,0.1,2,0,1,4.023943878030777,0.2892,0.5784,0.0,0.08899999999999997,0.1484,0.5264,,241448000,241448,25
