round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,50,dirichlet,0.5,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,flwf2,cifar10,50,dirichlet,0.5,1,1,0,2.5997680399894714,0.2539,0.5078,0.0,-0.45580000000000004,0.1484,0.45580000000000004,,12072400,241448,25
2,flwf2,cifar10,50,dirichlet,0.5,1,0,0,3.592539707183838,0.3016,0.6032,0.0,-0.09539999999999993,0.1484,0.5511999999999999,,24144800,241448,25
3,flwf2,cifar10,50,dirichlet,0.5,1,0,0,4.010837769889831,0.3016,0.6032,0.0,0.0,0.1484,0.5511999999999999,,36217200,241448,25
4,flwf2,cifar10,50,dirichlet,0.5,1,0,0,3.768126595592499,0.3309,0.6618,0.0,-0.058600000000000096,0.1484,0.6098,,48289600,241448,25
5,flwf2,cifar10,50,dirichlet,0.5,1,0,0,3.98317629609108,0.3434,0.6868,0.0,-0.02499999999999991,0.1484,0.6347999999999999,,60362000,241448,25
6,flwf2,cifar10,50,dirichlet,0.5,1,0,0,4.221650731468201,0.3444,0.6888,0.0,-0.0020000000000000018,0.1484,0.6367999999999999,,72434400,241448,25
7,flwf2,cifar10,50,dirichlet,0.5,1,0,0,4.287654738330841,0.3465,0.693,0.0,-0.0041999999999999815,0.1484,0.6409999999999999,,84506800,241448,25
8,flwf2,cifar10,50,dirichlet,0.5,1,0,0,4.28220023946762,0.3509,0.7018,0.0,-0.00880000000000003,0.1484,0.6497999999999999,,96579200,241448,25
9,flwf2,cifar10,50,dirichlet,0.5,1,0,0,4.432351006364822,0.3654,0.7308,0.0,-0.029000000000000026,0.1484,0.6788,,108651600,241448,25
10,flwf2,cifar10,50,dirichlet,0.5,1,0,1,4.515300154209137,0.3449,0.6898,0.0,0.041000000000000036,0.1484,0.6377999999999999,,120724000,241448,25
11,flwf2,cifar10,50,dirichlet,0.5,2,1,0,4.47443845872879,0.345,0.69,0.0,0.04080000000000006,0.1484,0.6379999999999999,,132796400,241448,25
12,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.435185824108124,0.3447,0.6894,0.0,0.04139999999999999,0.1484,0.6374,,144868800,241448,25
13,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.398138106536865,0.3446,0.6892,0.0,0.04159999999999997,0.1484,0.6372,,156941200,241448,25
14,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.3601476420402525,0.3448,0.6896,0.0,0.041200000000000014,0.1484,0.6376,,169013600,241448,25
15,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.323792717123031,0.3449,0.6898,0.0,0.041000000000000036,0.1484,0.6377999999999999,,181086000,241448,25
16,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.289845638370514,0.3449,0.6898,0.0,0.041000000000000036,0.1484,0.6377999999999999,,193158400,241448,25
17,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.256035031890869,0.3449,0.6898,0.0,0.041000000000000036,0.1484,0.6377999999999999,,205230800,241448,25
18,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.2218369853973385,0.3449,0.6898,0.0,0.041000000000000036,0.1484,0.6377999999999999,,217303200,241448,25
19,flwf2,cifar10,50,dirichlet,0.5,2,0,0,4.189396079921722,0.3447,0.6894,0.0,0.04139999999999999,0.1484,0.6374,,229375600,241448,25
20,flwf2,cifar10,50,dirichlet,0.5,2,0,1,4.158244265174866,0.3445,0.689,0.0,0.04180000000000006,0.1484,0.6369999999999999,,241448000,241448,25
