round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,50,dirichlet,1.0,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,flwf2,cifar10,50,dirichlet,1.0,1,1,0,2.8155589667320253,0.2661,0.5322,0.0,-0.4802,0.1484,0.4802,,12072400,241448,25
2,flwf2,cifar10,50,dirichlet,1.0,1,0,0,3.973454359483719,0.2972,0.5944,0.0,-0.06220000000000003,0.1484,0.5424,,24144800,241448,25
3,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.123010982751846,0.3206,0.6412,0.0,-0.04679999999999995,0.1484,0.5892,,36217200,241448,25
4,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.35740045375824,0.3149,0.6298,0.0,0.011399999999999966,0.1484,0.5778,,48289600,241448,25
5,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.179768972253799,0.331,0.662,0.0,-0.02080000000000004,0.1484,0.61,,60362000,241448,25
6,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.394083903217315,0.3408,0.6816,0.0,-0.01959999999999995,0.1484,0.6295999999999999,,72434400,241448,25
7,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.442143014431,0.3511,0.7022,0.0,-0.020600000000000063,0.1484,0.6502,,84506800,241448,25
8,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.727189190721512,0.3543,0.7086,0.0,-0.006399999999999961,0.1484,0.6566,,96579200,241448,25
9,flwf2,cifar10,50,dirichlet,1.0,1,0,0,4.640384684514999,0.3605,0.721,0.0,-0.012399999999999967,0.1484,0.6689999999999999,,108651600,241448,25
10,flwf2,cifar10,50,dirichlet,1.0,1,0,1,4.697165710163117,0.3606,0.7212,0.0,-0.00019999999999997797,0.1484,0.6691999999999999,,120724000,241448,25
11,flwf2,cifar10,50,dirichlet,1.0,2,1,0,4.649306494045257,0.3606,0.7212,0.0,0.0,0.1484,0.6691999999999999,,132796400,241448,25
12,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.603296793079376,0.3603,0.7206,0.0,0.0005999999999999339,0.1484,0.6686,,144868800,241448,25
13,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.561846983146667,0.3599,0.7198,0.0,0.0013999999999999568,0.1484,0.6678,,156941200,241448,25
14,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.51969732632637,0.3601,0.7202,0.0,0.0010000000000000009,0.1484,0.6681999999999999,,169013600,241448,25
15,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.4786496743679045,0.3601,0.7202,0.0,0.0010000000000000009,0.1484,0.6681999999999999,,181086000,241448,25
16,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.439291262340546,0.3602,0.7204,0.0,0.0007999999999999119,0.1484,0.6684,,193158400,241448,25
17,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.4003042521476745,0.3604,0.7208,0.0,0.00039999999999995595,0.1484,0.6688,,205230800,241448,25
18,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.362011046791077,0.3605,0.721,0.0,0.00019999999999997797,0.1484,0.6689999999999999,,217303200,241448,25
19,flwf2,cifar10,50,dirichlet,1.0,2,0,0,4.325568372058869,0.3603,0.7206,0.0,0.0005999999999999339,0.1484,0.6686,,229375600,241448,25
20,flwf2,cifar10,50,dirichlet,1.0,2,0,1,4.290742836046219,0.3601,0.7202,0.0,0.0010000000000000009,0.1484,0.6681999999999999,,241448000,241448,25
