round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,cifar10,50,iid,,1,0,0,2.3113226694107056,0.1002,0.052,0.1484,0.0,0.0,,,0,241448,25
1,flwf2,cifar10,50,iid,,1,1,0,3.313735637187958,0.2812,0.5624,0.0,-0.5104,0.1484,0.5104,,12072400,241448,25
2,flwf2,cifar10,50,iid,,1,0,0,4.082101836872101,0.3137,0.6274,0.0,-0.06499999999999995,0.1484,0.5753999999999999,,24144800,241448,25
3,flwf2,cifar10,50,iid,,1,0,0,4.185275143623352,0.3264,0.6528,0.0,-0.02540000000000009,0.1484,0.6008,,36217200,241448,25
4,flwf2,cifar10,50,iid,,1,0,0,4.27159969754219,0.3362,0.6724,0.0,-0.01959999999999995,0.1484,0.6204,,48289600,241448,25
5,flwf2,cifar10,50,iid,,1,0,0,4.378304500770569,0.3453,0.6906,0.0,-0.018199999999999994,0.1484,0.6386,,60362000,241448,25
6,flwf2,cifar10,50,iid,,1,0,0,4.423108381128311,0.3528,0.7056,0.0,-0.015000000000000013,0.1484,0.6536,,72434400,241448,25
7,flwf2,cifar10,50,iid,,1,0,0,4.455550865221023,0.3569,0.7138,0.0,-0.008199999999999985,0.1484,0.6617999999999999,,84506800,241448,25
8,flwf2,cifar10,50,iid,,1,0,0,4.478661785030365,0.3615,0.723,0.0,-0.009199999999999986,0.1484,0.6709999999999999,,96579200,241448,25
9,flwf2,cifar10,50,iid,,1,0,0,4.6811689620018,0.3638,0.7276,0.0,-0.0046000000000000485,0.1484,0.6756,,108651600,241448,25
10,flwf2,cifar10,50,iid,,1,0,1,4.723228507995605,0.3684,0.7368,0.0,-0.009199999999999986,0.1484,0.6848,,120724000,241448,25
11,flwf2,cifar10,50,iid,,2,1,0,4.674190196561813,0.3681,0.7362,0.0,0.0006000000000000449,0.1484,0.6841999999999999,,132796400,241448,25
12,flwf2,cifar10,50,iid,,2,0,0,4.626647972726822,0.368,0.736,0.0,0.0008000000000000229,0.1484,0.6839999999999999,,144868800,241448,25
13,flwf2,cifar10,50,iid,,2,0,0,4.580254553699493,0.3678,0.7356,0.0,0.0011999999999999789,0.1484,0.6836,,156941200,241448,25
14,flwf2,cifar10,50,iid,,2,0,0,4.53594683303833,0.3677,0.7354,0.0,0.0013999999999999568,0.1484,0.6834,,169013600,241448,25
15,flwf2,cifar10,50,iid,,2,0,0,4.493101725578308,0.3676,0.7352,0.0,0.0016000000000000458,0.1484,0.6831999999999999,,181086000,241448,25
16,flwf2,cifar10,50,iid,,2,0,0,4.4518490138530735,0.3675,0.735,0.0,0.0018000000000000238,0.1484,0.6829999999999999,,193158400,241448,25
17,flwf2,cifar10,50,iid,,2,0,0,4.411557323741913,0.3675,0.735,0.0,0.0018000000000000238,0.1484,0.6829999999999999,,205230800,241448,25
18,flwf2,cifar10,50,iid,,2,0,0,4.372045555114746,0.3676,0.7352,0.0,0.0016000000000000458,0.1484,0.6831999999999999,,217303200,241448,25
19,flwf2,cifar10,50,iid,,2,0,0,4.334083868598938,0.3676,0.7352,0.0,0.0016000000000000458,0.1484,0.6831999999999999,,229375600,241448,25
20,flwf2,cifar10,50,iid,,2,0,1,4.297061283063888,0.3674,0.7348,0.0,0.0020000000000000018,0.1484,0.6828,,241448000,241448,25
