round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,100,dirichlet,0.01,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,flwf2,fmnist,100,dirichlet,0.01,1,1,0,6.390429082870483,0.1001,0.2002,0.0,-0.1986,0.1704,0.1986,,23914400,239144,50
2,flwf2,fmnist,100,dirichlet,0.01,1,0,0,5.325860711479187,0.1935,0.387,0.0,-0.18680000000000002,0.1704,0.3854,,47828800,239144,50
3,flwf2,fmnist,100,dirichlet,0.01,1,0,0,2.652017646408081,0.2531,0.5062,0.0,-0.11919999999999997,0.1704,0.5045999999999999,,71743200,239144,50
4,flwf2,fmnist,100,dirichlet,0.01,1,0,0,5.205102215862274,0.1908,0.3816,0.0,0.12459999999999999,0.1704,0.38,,95657600,239144,50
5,flwf2,fmnist,100,dirichlet,0.01,1,0,0,5.850001288795471,0.1014,0.2028,0.0,0.3034,0.1704,0.20120000000000002,,119572000,239144,50
6,flwf2,fmnist,100,dirichlet,0.01,1,0,0,3.186818858718872,0.1979,0.3958,0.0,0.1104,0.1704,0.3942,,143486400,239144,50
7,flwf2,fmnist,100,dirichlet,0.01,1,0,0,11.428817461395264,0.1,0.2,0.0,0.30619999999999997,0.1704,0.19840000000000002,,167400800,239144,50
8,flwf2,fmnist,100,dirichlet,0.01,1,0,0,3.390963840675354,0.2006,0.4012,0.0,0.10499999999999998,0.1704,0.3996,,191315200,239144,50
9,flwf2,fmnist,100,dirichlet,0.01,1,0,0,5.789862890052795,0.1392,0.2784,0.0,0.2278,0.1704,0.2768,,215229600,239144,50
10,flwf2,fmnist,100,dirichlet,0.01,1,0,1,3.9340208640098573,0.2704,0.5408,0.0,-0.034599999999999964,0.1704,0.5391999999999999,,239144000,239144,50
11,flwf2,fmnist,100,dirichlet,0.01,2,1,0,3.9146131507873534,0.2703,0.5406,0.0,0.00019999999999997797,0.1704,0.5389999999999999,,263058400,239144,50
12,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.890167461490631,0.2702,0.5404,0.0,0.00039999999999995595,0.1704,0.5388,,286972800,239144,50
13,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.8688770136833193,0.2702,0.5404,0.0,0.00039999999999995595,0.1704,0.5388,,310887200,239144,50
14,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.8511523193359376,0.2703,0.5406,0.0,0.00019999999999997797,0.1704,0.5389999999999999,,334801600,239144,50
15,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.8296668093681334,0.2703,0.5406,0.0,0.00019999999999997797,0.1704,0.5389999999999999,,358716000,239144,50
16,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.8095221476554872,0.2701,0.5402,0.0,0.0005999999999999339,0.1704,0.5386,,382630400,239144,50
17,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.7899774554252623,0.2701,0.5402,0.0,0.0005999999999999339,0.1704,0.5386,,406544800,239144,50
18,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.771517208003998,0.2701,0.5402,0.0,0.0005999999999999339,0.1704,0.5386,,430459200,239144,50
19,flwf2,fmnist,100,dirichlet,0.01,2,0,0,3.757869229412079,0.2702,0.5404,0.0,0.00039999999999995595,0.1704,0.5388,,454373600,239144,50
20,flwf2,fmnist,100,dirichlet,0.01,2,0,1,3.7382088311195374,0.2702,0.5404,0.0,0.00039999999999995595,0.1704,0.5388,,478288000,239144,50
