round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,100,dirichlet,0.1,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,flwf2,fmnist,100,dirichlet,0.1,1,1,0,2.729837821483612,0.2301,0.4602,0.0,-0.4586,0.1704,0.4586,,23914400,239144,50
2,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.11587875187397,0.3289,0.6578,0.0,-0.19760000000000005,0.1704,0.6562,,47828800,239144,50
3,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.9282973278999327,0.3431,0.6862,0.0,-0.02839999999999998,0.1704,0.6846,,71743200,239144,50
4,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.9596651767730715,0.3246,0.6492,0.0,0.03700000000000003,0.1704,0.6476,,95657600,239144,50
5,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.5510690081596374,0.3488,0.6976,0.0,-0.011399999999999966,0.1704,0.696,,119572000,239144,50
6,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.2382552384376524,0.4119,0.8238,0.0,-0.12619999999999998,0.1704,0.8221999999999999,,143486400,239144,50
7,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.71697831659317,0.404,0.808,0.0,0.015799999999999925,0.1704,0.8064,,167400800,239144,50
8,flwf2,fmnist,100,dirichlet,0.1,1,0,0,3.948171005487442,0.4046,0.8092,0.0,0.014599999999999946,0.1704,0.8076,,191315200,239144,50
9,flwf2,fmnist,100,dirichlet,0.1,1,0,0,4.224286990737915,0.3629,0.7258,0.0,0.09799999999999998,0.1704,0.7242,,215229600,239144,50
10,flwf2,fmnist,100,dirichlet,0.1,1,0,1,4.080449589705467,0.3451,0.6902,0.0,0.13359999999999994,0.1704,0.6886,,239144000,239144,50
11,flwf2,fmnist,100,dirichlet,0.1,2,1,0,4.050704371309281,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,263058400,239144,50
12,flwf2,fmnist,100,dirichlet,0.1,2,0,0,4.024825383543968,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,286972800,239144,50
13,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.998761095952988,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,310887200,239144,50
14,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.973216042160988,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,334801600,239144,50
15,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.944115622615814,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,358716000,239144,50
16,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.9153933868885042,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,382630400,239144,50
17,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.8880312761306763,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,406544800,239144,50
18,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.8641511585712434,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,430459200,239144,50
19,flwf2,fmnist,100,dirichlet,0.1,2,0,0,3.8371588200569153,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,454373600,239144,50
20,flwf2,fmnist,100,dirichlet,0.1,2,0,1,3.812852225971222,0.345,0.69,0.0,0.13380000000000003,0.1704,0.6883999999999999,,478288000,239144,50
