round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,100,dirichlet,0.5,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,flwf2,fmnist,100,dirichlet,0.5,1,1,0,3.1926733379840853,0.4061,0.8122,0.0,-0.8106,0.1704,0.8106,,23914400,239144,50
2,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.197685303044319,0.4194,0.8388,0.0,-0.026599999999999957,0.1704,0.8371999999999999,,47828800,239144,50
3,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.5341391008257865,0.436,0.872,0.0,-0.03320000000000001,0.1704,0.8704,,71743200,239144,50
4,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.498419165956974,0.4378,0.8756,0.0,-0.0036000000000000476,0.1704,0.874,,95657600,239144,50
5,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.204946239364147,0.4383,0.8766,0.0,-0.0010000000000000009,0.1704,0.875,,119572000,239144,50
6,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.553672034907341,0.445,0.89,0.0,-0.013399999999999967,0.1704,0.8884,,143486400,239144,50
7,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.761135095465184,0.4482,0.8964,0.0,-0.006399999999999961,0.1704,0.8947999999999999,,167400800,239144,50
8,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.538462665200234,0.4443,0.8886,0.0,0.007800000000000029,0.1704,0.8869999999999999,,191315200,239144,50
9,flwf2,fmnist,100,dirichlet,0.5,1,0,0,4.544132364916801,0.4485,0.897,0.0,-0.0006000000000000449,0.1704,0.8954,,215229600,239144,50
10,flwf2,fmnist,100,dirichlet,0.5,1,0,1,4.753059583246708,0.452,0.904,0.0,-0.007000000000000006,0.1704,0.9024,,239144000,239144,50
11,flwf2,fmnist,100,dirichlet,0.5,2,1,0,4.6706462357521055,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,263058400,239144,50
12,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.597722662389279,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,286972800,239144,50
13,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.521998024976254,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,310887200,239144,50
14,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.454574560952187,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,334801600,239144,50
15,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.3855596695065495,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,358716000,239144,50
16,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.319565862393379,0.4519,0.9038,0.0,0.00019999999999997797,0.1704,0.9022,,382630400,239144,50
17,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.254878553140164,0.452,0.904,0.0,0.0,0.1704,0.9024,,406544800,239144,50
18,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.192212237405777,0.4521,0.9042,0.0,-0.00019999999999997797,0.1704,0.9026,,430459200,239144,50
19,flwf2,fmnist,100,dirichlet,0.5,2,0,0,4.133683737492562,0.4522,0.9044,0.0,-0.00019999999999997797,0.1704,0.9027999999999999,,454373600,239144,50
20,flwf2,fmnist,100,dirichlet,0.5,2,0,1,4.08186850413084,0.4523,0.9046,0.0,-0.00019999999999997797,0.1704,0.9029999999999999,,478288000,239144,50
