round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,100,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,flwf2,fmnist,100,dirichlet,1.0,1,1,0,3.6187922534942625,0.4065,0.813,0.0,-0.8113999999999999,0.1704,0.8113999999999999,,23914400,239144,50
2,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.8356884902000425,0.4252,0.8504,0.0,-0.0374000000000001,0.1704,0.8488,,47828800,239144,50
3,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.826618712246418,0.434,0.868,0.0,-0.01759999999999995,0.1704,0.8664,,71743200,239144,50
4,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.944680477285385,0.4374,0.8748,0.0,-0.006800000000000028,0.1704,0.8732,,95657600,239144,50
5,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.882305416381359,0.4413,0.8826,0.0,-0.007800000000000029,0.1704,0.881,,119572000,239144,50
6,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.749952944302559,0.4431,0.8862,0.0,-0.0035999999999999366,0.1704,0.8845999999999999,,143486400,239144,50
7,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.904643983995914,0.4433,0.8866,0.0,-0.00040000000000006697,0.1704,0.885,,167400800,239144,50
8,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.857660804283619,0.449,0.898,0.0,-0.011399999999999966,0.1704,0.8964,,191315200,239144,50
9,flwf2,fmnist,100,dirichlet,1.0,1,0,0,4.902487153017521,0.4485,0.897,0.0,0.0010000000000000009,0.1704,0.8954,,215229600,239144,50
10,flwf2,fmnist,100,dirichlet,1.0,1,0,1,4.992699467027188,0.4491,0.8982,0.0,-0.00019999999999997797,0.1704,0.8966,,239144000,239144,50
11,flwf2,fmnist,100,dirichlet,1.0,2,1,0,4.901270279443264,0.4492,0.8984,0.0,-0.00019999999999997797,0.1704,0.8967999999999999,,263058400,239144,50
12,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.808621111297607,0.4492,0.8984,0.0,0.0,0.1704,0.8967999999999999,,286972800,239144,50
13,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.725020380175113,0.4492,0.8984,0.0,0.0,0.1704,0.8967999999999999,,310887200,239144,50
14,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.6424521409869195,0.4492,0.8984,0.0,0.0,0.1704,0.8967999999999999,,334801600,239144,50
15,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.5592413590431216,0.4491,0.8982,0.0,0.00019999999999997797,0.1704,0.8966,,358716000,239144,50
16,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.482366633331775,0.4492,0.8984,0.0,0.0,0.1704,0.8967999999999999,,382630400,239144,50
17,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.4112778625845905,0.4491,0.8982,0.0,0.00019999999999997797,0.1704,0.8966,,406544800,239144,50
18,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.344712482953072,0.4491,0.8982,0.0,0.00019999999999997797,0.1704,0.8966,,430459200,239144,50
19,flwf2,fmnist,100,dirichlet,1.0,2,0,0,4.278448932814598,0.449,0.898,0.0,0.00039999999999995595,0.1704,0.8964,,454373600,239144,50
20,flwf2,fmnist,100,dirichlet,1.0,2,0,1,4.213976564490795,0.4491,0.8982,0.0,0.00019999999999997797,0.1704,0.8966,,478288000,239144,50
