round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,100,iid,,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,50
1,flwf2,fmnist,100,iid,,1,1,0,4.130405768895149,0.4127,0.8254,0.0,-0.8238,0.1704,0.8238,,23914400,239144,50
2,flwf2,fmnist,100,iid,,1,0,0,5.222444944953918,0.4298,0.8596,0.0,-0.03420000000000001,0.1704,0.858,,47828800,239144,50
3,flwf2,fmnist,100,iid,,1,0,0,5.253661470150948,0.4361,0.8722,0.0,-0.012599999999999945,0.1704,0.8705999999999999,,71743200,239144,50
4,flwf2,fmnist,100,iid,,1,0,0,5.441552343559265,0.4425,0.885,0.0,-0.012800000000000034,0.1704,0.8834,,95657600,239144,50
5,flwf2,fmnist,100,iid,,1,0,0,5.356447583794594,0.4434,0.8868,0.0,-0.0018000000000000238,0.1704,0.8852,,119572000,239144,50
6,flwf2,fmnist,100,iid,,1,0,0,5.390563339972496,0.4455,0.891,0.0,-0.0041999999999999815,0.1704,0.8894,,143486400,239144,50
7,flwf2,fmnist,100,iid,,1,0,0,5.329344222486019,0.4473,0.8946,0.0,-0.0035999999999999366,0.1704,0.8929999999999999,,167400800,239144,50
8,flwf2,fmnist,100,iid,,1,0,0,5.302902804911136,0.4478,0.8956,0.0,-0.0010000000000000009,0.1704,0.8939999999999999,,191315200,239144,50
9,flwf2,fmnist,100,iid,,1,0,0,5.348412867796421,0.4481,0.8962,0.0,-0.0006000000000000449,0.1704,0.8946,,215229600,239144,50
10,flwf2,fmnist,100,iid,,1,0,1,5.444137259709835,0.4502,0.9004,0.0,-0.0041999999999999815,0.1704,0.8987999999999999,,239144000,239144,50
11,flwf2,fmnist,100,iid,,2,1,0,5.314790454244614,0.4502,0.9004,0.0,0.0,0.1704,0.8987999999999999,,263058400,239144,50
12,flwf2,fmnist,100,iid,,2,0,0,5.194775873565674,0.4502,0.9004,0.0,0.0,0.1704,0.8987999999999999,,286972800,239144,50
13,flwf2,fmnist,100,iid,,2,0,0,5.0828721861720085,0.4497,0.8994,0.0,0.0010000000000000009,0.1704,0.8977999999999999,,310887200,239144,50
14,flwf2,fmnist,100,iid,,2,0,0,4.977769494843483,0.4496,0.8992,0.0,0.0011999999999999789,0.1704,0.8976,,334801600,239144,50
15,flwf2,fmnist,100,iid,,2,0,0,4.8787416499972345,0.4495,0.899,0.0,0.0013999999999999568,0.1704,0.8974,,358716000,239144,50
16,flwf2,fmnist,100,iid,,2,0,0,4.784970632183552,0.4494,0.8988,0.0,0.0015999999999999348,0.1704,0.8972,,382630400,239144,50
17,flwf2,fmnist,100,iid,,2,0,0,4.696487203788758,0.4494,0.8988,0.0,0.0015999999999999348,0.1704,0.8972,,406544800,239144,50
18,flwf2,fmnist,100,iid,,2,0,0,4.612419092774391,0.4494,0.8988,0.0,0.0015999999999999348,0.1704,0.8972,,430459200,239144,50
19,flwf2,fmnist,100,iid,,2,0,0,4.532360139071941,0.4494,0.8988,0.0,0.0015999999999999348,0.1704,0.8972,,454373600,239144,50
20,flwf2,fmnist,100,iid,,2,0,1,4.456091836345196,0.4491,0.8982,0.0,0.0021999999999999797,0.1704,0.8966,,478288000,239144,50
