round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,10,dirichlet,0.01,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,flwf2,fmnist,10,dirichlet,0.01,1,1,0,10.792932483673095,0.1,0.2,0.0,-0.19840000000000002,0.1704,0.19840000000000002,,2391440,239144,5
2,flwf2,fmnist,10,dirichlet,0.01,1,0,0,2.755838442611694,0.2667,0.5334,0.0,-0.3334,0.1704,0.5317999999999999,,4782880,239144,5
3,flwf2,fmnist,10,dirichlet,0.01,1,0,0,10.44340410308838,0.199,0.398,0.0,0.13539999999999996,0.1704,0.39640000000000003,,7174320,239144,5
4,flwf2,fmnist,10,dirichlet,0.01,1,0,0,3.134730814552307,0.1936,0.3872,0.0,0.1462,0.1704,0.3856,,9565760,239144,5
5,flwf2,fmnist,10,dirichlet,0.01,1,0,0,5.2325156238555905,0.1909,0.3818,0.0,0.1516,0.1704,0.3802,,11957200,239144,5
6,flwf2,fmnist,10,dirichlet,0.01,1,0,0,8.411612071990966,0.2081,0.4162,0.0,0.11719999999999997,0.1704,0.4146,,14348640,239144,5
7,flwf2,fmnist,10,dirichlet,0.01,1,0,0,5.226454722213745,0.1992,0.3984,0.0,0.135,0.1704,0.3968,,16740080,239144,5
8,flwf2,fmnist,10,dirichlet,0.01,1,0,0,3.8418732004165648,0.2254,0.4508,0.0,0.0826,0.1704,0.4492,,19131520,239144,5
9,flwf2,fmnist,10,dirichlet,0.01,1,0,0,3.0514866914272307,0.2295,0.459,0.0,0.07439999999999997,0.1704,0.45740000000000003,,21522960,239144,5
10,flwf2,fmnist,10,dirichlet,0.01,1,0,1,4.226460345554352,0.3223,0.6446,0.0,-0.11119999999999997,0.1704,0.6429999999999999,,23914400,239144,5
11,flwf2,fmnist,10,dirichlet,0.01,2,1,0,4.149556383323669,0.3225,0.645,0.0,-0.00040000000000006697,0.1704,0.6434,,26305840,239144,5
12,flwf2,fmnist,10,dirichlet,0.01,2,0,0,4.132190564727783,0.3225,0.645,0.0,0.0,0.1704,0.6434,,28697280,239144,5
13,flwf2,fmnist,10,dirichlet,0.01,2,0,0,4.094340189170837,0.3226,0.6452,0.0,-0.00019999999999997797,0.1704,0.6436,,31088720,239144,5
14,flwf2,fmnist,10,dirichlet,0.01,2,0,0,4.078904060649871,0.3227,0.6454,0.0,-0.00019999999999997797,0.1704,0.6437999999999999,,33480160,239144,5
15,flwf2,fmnist,10,dirichlet,0.01,2,0,0,4.063760876274109,0.3227,0.6454,0.0,0.0,0.1704,0.6437999999999999,,35871600,239144,5
16,flwf2,fmnist,10,dirichlet,0.01,2,0,0,4.0223947454452516,0.3227,0.6454,0.0,0.0,0.1704,0.6437999999999999,,38263040,239144,5
17,flwf2,fmnist,10,dirichlet,0.01,2,0,0,3.9860065077781677,0.3229,0.6458,0.0,-0.00040000000000006697,0.1704,0.6442,,40654480,239144,5
18,flwf2,fmnist,10,dirichlet,0.01,2,0,0,3.9711210723876955,0.3229,0.6458,0.0,0.0,0.1704,0.6442,,43045920,239144,5
19,flwf2,fmnist,10,dirichlet,0.01,2,0,0,3.9562263538360596,0.323,0.646,0.0,-0.00019999999999997797,0.1704,0.6444,,45437360,239144,5
20,flwf2,fmnist,10,dirichlet,0.01,2,0,1,3.9132581799507142,0.3231,0.6462,0.0,-0.00019999999999997797,0.1704,0.6446,,47828800,239144,5
