round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,10,dirichlet,0.1,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,flwf2,fmnist,10,dirichlet,0.1,1,1,0,3.2649566182613374,0.2167,0.4334,0.0,-0.4318,0.1704,0.4318,,2391440,239144,5
2,flwf2,fmnist,10,dirichlet,0.1,1,0,0,3.446105752944946,0.3364,0.6728,0.0,-0.23939999999999995,0.1704,0.6711999999999999,,4782880,239144,5
3,flwf2,fmnist,10,dirichlet,0.1,1,0,0,6.110675605392456,0.2782,0.5564,0.0,0.11639999999999995,0.1704,0.5548,,7174320,239144,5
4,flwf2,fmnist,10,dirichlet,0.1,1,0,0,3.951902386856079,0.262,0.524,0.0,0.14879999999999993,0.1704,0.5224,,9565760,239144,5
5,flwf2,fmnist,10,dirichlet,0.1,1,0,0,3.0684521961688995,0.3551,0.7102,0.0,-0.0374000000000001,0.1704,0.7086,,11957200,239144,5
6,flwf2,fmnist,10,dirichlet,0.1,1,0,0,4.544926638936997,0.3621,0.7242,0.0,-0.013999999999999901,0.1704,0.7225999999999999,,14348640,239144,5
7,flwf2,fmnist,10,dirichlet,0.1,1,0,0,3.8566127764344214,0.4132,0.8264,0.0,-0.10220000000000007,0.1704,0.8248,,16740080,239144,5
8,flwf2,fmnist,10,dirichlet,0.1,1,0,0,4.553123790305853,0.3818,0.7636,0.0,0.06280000000000008,0.1704,0.7619999999999999,,19131520,239144,5
9,flwf2,fmnist,10,dirichlet,0.1,1,0,0,4.001583051395416,0.3927,0.7854,0.0,0.041000000000000036,0.1704,0.7837999999999999,,21522960,239144,5
10,flwf2,fmnist,10,dirichlet,0.1,1,0,1,5.4419296189785005,0.3689,0.7378,0.0,0.08860000000000001,0.1704,0.7362,,23914400,239144,5
11,flwf2,fmnist,10,dirichlet,0.1,2,1,0,5.305627517843247,0.369,0.738,0.0,0.08840000000000003,0.1704,0.7363999999999999,,26305840,239144,5
12,flwf2,fmnist,10,dirichlet,0.1,2,0,0,5.216659315109253,0.3691,0.7382,0.0,0.08820000000000006,0.1704,0.7365999999999999,,28697280,239144,5
13,flwf2,fmnist,10,dirichlet,0.1,2,0,0,5.078637401771545,0.3692,0.7384,0.0,0.08800000000000008,0.1704,0.7367999999999999,,31088720,239144,5
14,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.964980792188644,0.3692,0.7384,0.0,0.08800000000000008,0.1704,0.7367999999999999,,33480160,239144,5
15,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.850794617938996,0.3691,0.7382,0.0,0.08820000000000006,0.1704,0.7365999999999999,,35871600,239144,5
16,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.7604610176563265,0.3693,0.7386,0.0,0.08779999999999999,0.1704,0.737,,38263040,239144,5
17,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.713136370897293,0.3694,0.7388,0.0,0.08760000000000001,0.1704,0.7372,,40654480,239144,5
18,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.619024187707901,0.3695,0.739,0.0,0.08740000000000003,0.1704,0.7373999999999999,,43045920,239144,5
19,flwf2,fmnist,10,dirichlet,0.1,2,0,0,4.533626804351806,0.3696,0.7392,0.0,0.08720000000000006,0.1704,0.7375999999999999,,45437360,239144,5
20,flwf2,fmnist,10,dirichlet,0.1,2,0,1,4.47184396352768,0.3696,0.7392,0.0,0.08720000000000006,0.1704,0.7375999999999999,,47828800,239144,5
