round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,10,dirichlet,0.5,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,flwf2,fmnist,10,dirichlet,0.5,1,1,0,3.3557992169976236,0.4468,0.8936,0.0,-0.8919999999999999,0.1704,0.8919999999999999,,2391440,239144,5
2,flwf2,fmnist,10,dirichlet,0.5,1,0,0,4.711360232639313,0.4567,0.9134,0.0,-0.01980000000000004,0.1704,0.9117999999999999,,4782880,239144,5
3,flwf2,fmnist,10,dirichlet,0.5,1,0,0,4.987972924509645,0.4559,0.9118,0.0,0.0015999999999999348,0.1704,0.9102,,7174320,239144,5
4,flwf2,fmnist,10,dirichlet,0.5,1,0,0,4.653229255959392,0.4541,0.9082,0.0,0.005199999999999982,0.1704,0.9066,,9565760,239144,5
5,flwf2,fmnist,10,dirichlet,0.5,1,0,0,5.399886861139536,0.4629,0.9258,0.0,-0.012399999999999967,0.1704,0.9241999999999999,,11957200,239144,5
6,flwf2,fmnist,10,dirichlet,0.5,1,0,0,5.904773291691392,0.4584,0.9168,0.0,0.009000000000000008,0.1704,0.9151999999999999,,14348640,239144,5
7,flwf2,fmnist,10,dirichlet,0.5,1,0,0,5.572339914515615,0.4647,0.9294,0.0,-0.0036000000000000476,0.1704,0.9278,,16740080,239144,5
8,flwf2,fmnist,10,dirichlet,0.5,1,0,0,5.535407367775589,0.4644,0.9288,0.0,0.0006000000000000449,0.1704,0.9271999999999999,,19131520,239144,5
9,flwf2,fmnist,10,dirichlet,0.5,1,0,0,5.995038932159543,0.4601,0.9202,0.0,0.009199999999999986,0.1704,0.9186,,21522960,239144,5
10,flwf2,fmnist,10,dirichlet,0.5,1,0,1,6.316194042058289,0.4651,0.9302,0.0,-0.0008000000000000229,0.1704,0.9286,,23914400,239144,5
11,flwf2,fmnist,10,dirichlet,0.5,2,1,0,5.913433042795211,0.4652,0.9304,0.0,-0.00019999999999997797,0.1704,0.9288,,26305840,239144,5
12,flwf2,fmnist,10,dirichlet,0.5,2,0,0,5.6451322910927235,0.4651,0.9302,0.0,0.00019999999999997797,0.1704,0.9286,,28697280,239144,5
13,flwf2,fmnist,10,dirichlet,0.5,2,0,0,5.357866458317265,0.4651,0.9302,0.0,0.00019999999999997797,0.1704,0.9286,,31088720,239144,5
14,flwf2,fmnist,10,dirichlet,0.5,2,0,0,5.162429045815766,0.465,0.93,0.0,0.00039999999999995595,0.1704,0.9284,,33480160,239144,5
15,flwf2,fmnist,10,dirichlet,0.5,2,0,0,4.9936973950386045,0.4651,0.9302,0.0,0.00019999999999997797,0.1704,0.9286,,35871600,239144,5
16,flwf2,fmnist,10,dirichlet,0.5,2,0,0,4.821003641519695,0.465,0.93,0.0,0.00039999999999995595,0.1704,0.9284,,38263040,239144,5
17,flwf2,fmnist,10,dirichlet,0.5,2,0,0,4.672657635955512,0.465,0.93,0.0,0.00039999999999995595,0.1704,0.9284,,40654480,239144,5
18,flwf2,fmnist,10,dirichlet,0.5,2,0,0,4.5505755870774385,0.4649,0.9298,0.0,0.0006000000000000449,0.1704,0.9281999999999999,,43045920,239144,5
19,flwf2,fmnist,10,dirichlet,0.5,2,0,0,4.4498371196873485,0.4649,0.9298,0.0,0.0006000000000000449,0.1704,0.9281999999999999,,45437360,239144,5
20,flwf2,fmnist,10,dirichlet,0.5,2,0,1,4.341734604136273,0.465,0.93,0.0,0.00039999999999995595,0.1704,0.9284,,47828800,239144,5
