round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,10,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,flwf2,fmnist,10,dirichlet,1.0,1,1,0,3.7676877778887747,0.4448,0.8896,0.0,-0.8879999999999999,0.1704,0.8879999999999999,,2391440,239144,5
2,flwf2,fmnist,10,dirichlet,1.0,1,0,0,4.757211105883122,0.4527,0.9054,0.0,-0.015800000000000036,0.1704,0.9037999999999999,,4782880,239144,5
3,flwf2,fmnist,10,dirichlet,1.0,1,0,0,4.8325716600835324,0.4545,0.909,0.0,-0.0036000000000000476,0.1704,0.9074,,7174320,239144,5
4,flwf2,fmnist,10,dirichlet,1.0,1,0,0,5.190633573335409,0.46,0.92,0.0,-0.01100000000000001,0.1704,0.9184,,9565760,239144,5
5,flwf2,fmnist,10,dirichlet,1.0,1,0,0,4.997731471315026,0.4547,0.9094,0.0,0.010600000000000054,0.1704,0.9077999999999999,,11957200,239144,5
6,flwf2,fmnist,10,dirichlet,1.0,1,0,0,5.454831247001886,0.461,0.922,0.0,-0.0020000000000000018,0.1704,0.9204,,14348640,239144,5
7,flwf2,fmnist,10,dirichlet,1.0,1,0,0,5.172211577427388,0.4569,0.9138,0.0,0.008200000000000096,0.1704,0.9121999999999999,,16740080,239144,5
8,flwf2,fmnist,10,dirichlet,1.0,1,0,0,6.138229094694555,0.4654,0.9308,0.0,-0.008799999999999919,0.1704,0.9291999999999999,,19131520,239144,5
9,flwf2,fmnist,10,dirichlet,1.0,1,0,0,6.467611429876089,0.4649,0.9298,0.0,0.0010000000000000009,0.1704,0.9281999999999999,,21522960,239144,5
10,flwf2,fmnist,10,dirichlet,1.0,1,0,1,6.07936025749296,0.4611,0.9222,0.0,0.008599999999999941,0.1704,0.9206,,23914400,239144,5
11,flwf2,fmnist,10,dirichlet,1.0,2,1,0,5.745057382464409,0.4611,0.9222,0.0,0.008599999999999941,0.1704,0.9206,,26305840,239144,5
12,flwf2,fmnist,10,dirichlet,1.0,2,0,0,5.422898547098041,0.461,0.922,0.0,0.008799999999999919,0.1704,0.9204,,28697280,239144,5
13,flwf2,fmnist,10,dirichlet,1.0,2,0,0,5.201875831232965,0.461,0.922,0.0,0.008799999999999919,0.1704,0.9204,,31088720,239144,5
14,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.993869901293516,0.4612,0.9224,0.0,0.008399999999999963,0.1704,0.9208,,33480160,239144,5
15,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.810081500197947,0.4613,0.9226,0.0,0.008199999999999985,0.1704,0.9209999999999999,,35871600,239144,5
16,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.64930223364383,0.4614,0.9228,0.0,0.008000000000000007,0.1704,0.9211999999999999,,38263040,239144,5
17,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.508971994554996,0.4614,0.9228,0.0,0.008000000000000007,0.1704,0.9211999999999999,,40654480,239144,5
18,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.384302506186068,0.4614,0.9228,0.0,0.008000000000000007,0.1704,0.9211999999999999,,43045920,239144,5
19,flwf2,fmnist,10,dirichlet,1.0,2,0,0,4.267109863047302,0.4614,0.9228,0.0,0.008000000000000007,0.1704,0.9211999999999999,,45437360,239144,5
20,flwf2,fmnist,10,dirichlet,1.0,2,0,1,4.163606940180063,0.4614,0.9228,0.0,0.008000000000000007,0.1704,0.9211999999999999,,47828800,239144,5
