round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,10,iid,,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,5
1,flwf2,fmnist,10,iid,,1,1,0,3.7711355118393897,0.446,0.892,0.0,-0.8904,0.1704,0.8904,,2391440,239144,5
2,flwf2,fmnist,10,iid,,1,0,0,4.465446016037464,0.4551,0.9102,0.0,-0.018199999999999994,0.1704,0.9086,,4782880,239144,5
3,flwf2,fmnist,10,iid,,1,0,0,4.730797922611236,0.4579,0.9158,0.0,-0.005599999999999938,0.1704,0.9141999999999999,,7174320,239144,5
4,flwf2,fmnist,10,iid,,1,0,0,4.969402217668295,0.461,0.922,0.0,-0.006200000000000094,0.1704,0.9204,,9565760,239144,5
5,flwf2,fmnist,10,iid,,1,0,0,5.282803563839197,0.4636,0.9272,0.0,-0.005199999999999982,0.1704,0.9256,,11957200,239144,5
6,flwf2,fmnist,10,iid,,1,0,0,5.646670395827293,0.4638,0.9276,0.0,-0.00039999999999995595,0.1704,0.9259999999999999,,14348640,239144,5
7,flwf2,fmnist,10,iid,,1,0,0,5.603301229718327,0.4666,0.9332,0.0,-0.005600000000000049,0.1704,0.9316,,16740080,239144,5
8,flwf2,fmnist,10,iid,,1,0,0,5.550067992112041,0.4678,0.9356,0.0,-0.0023999999999999577,0.1704,0.9339999999999999,,19131520,239144,5
9,flwf2,fmnist,10,iid,,1,0,0,6.041781705436111,0.4679,0.9358,0.0,-0.00019999999999997797,0.1704,0.9341999999999999,,21522960,239144,5
10,flwf2,fmnist,10,iid,,1,0,1,6.257579243983328,0.4677,0.9354,0.0,0.00039999999999995595,0.1704,0.9338,,23914400,239144,5
11,flwf2,fmnist,10,iid,,2,1,0,5.812356263057888,0.4676,0.9352,0.0,0.0005999999999999339,0.1704,0.9336,,26305840,239144,5
12,flwf2,fmnist,10,iid,,2,0,0,5.456240560990572,0.4676,0.9352,0.0,0.0005999999999999339,0.1704,0.9336,,28697280,239144,5
13,flwf2,fmnist,10,iid,,2,0,0,5.167436450172961,0.4676,0.9352,0.0,0.0005999999999999339,0.1704,0.9336,,31088720,239144,5
14,flwf2,fmnist,10,iid,,2,0,0,4.93024341428876,0.4675,0.935,0.0,0.0007999999999999119,0.1704,0.9334,,33480160,239144,5
15,flwf2,fmnist,10,iid,,2,0,0,4.734722782295942,0.4675,0.935,0.0,0.0007999999999999119,0.1704,0.9334,,35871600,239144,5
16,flwf2,fmnist,10,iid,,2,0,0,4.566690699738264,0.4675,0.935,0.0,0.0007999999999999119,0.1704,0.9334,,38263040,239144,5
17,flwf2,fmnist,10,iid,,2,0,0,4.420373747484386,0.4675,0.935,0.0,0.0007999999999999119,0.1704,0.9334,,40654480,239144,5
18,flwf2,fmnist,10,iid,,2,0,0,4.292190779452026,0.4672,0.9344,0.0,0.0013999999999999568,0.1704,0.9328,,43045920,239144,5
19,flwf2,fmnist,10,iid,,2,0,0,4.177282398143411,0.4672,0.9344,0.0,0.0013999999999999568,0.1704,0.9328,,45437360,239144,5
20,flwf2,fmnist,10,iid,,2,0,1,4.072322137247026,0.4672,0.9344,0.0,0.0013999999999999568,0.1704,0.9328,,47828800,239144,5
