round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,50,dirichlet,0.01,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,flwf2,fmnist,50,dirichlet,0.01,1,1,0,22.17620274810791,0.1743,0.3486,0.0,-0.34700000000000003,0.1704,0.34700000000000003,,11957200,239144,25
2,flwf2,fmnist,50,dirichlet,0.01,1,0,0,6.518837997055054,0.1,0.2,0.0,0.1486,0.1704,0.19840000000000002,,23914400,239144,25
3,flwf2,fmnist,50,dirichlet,0.01,1,0,0,30.683550524902344,0.1,0.2,0.0,0.1486,0.1704,0.19840000000000002,,35871600,239144,25
4,flwf2,fmnist,50,dirichlet,0.01,1,0,0,10.89046062927246,0.1,0.2,0.0,0.1486,0.1704,0.19840000000000002,,47828800,239144,25
5,flwf2,fmnist,50,dirichlet,0.01,1,0,0,9.103542060089111,0.1083,0.2166,0.0,0.13200000000000003,0.1704,0.215,,59786000,239144,25
6,flwf2,fmnist,50,dirichlet,0.01,1,0,0,14.294154135131835,0.1881,0.3762,0.0,-0.027599999999999958,0.1704,0.3746,,71743200,239144,25
7,flwf2,fmnist,50,dirichlet,0.01,1,0,0,68.89465423583984,0.1,0.2,0.0,0.17619999999999997,0.1704,0.19840000000000002,,83700400,239144,25
8,flwf2,fmnist,50,dirichlet,0.01,1,0,0,37.23996252441406,0.1,0.2,0.0,0.17619999999999997,0.1704,0.19840000000000002,,95657600,239144,25
9,flwf2,fmnist,50,dirichlet,0.01,1,0,0,77.36988885803223,0.1,0.2,0.0,0.17619999999999997,0.1704,0.19840000000000002,,107614800,239144,25
10,flwf2,fmnist,50,dirichlet,0.01,1,0,1,2.372696459197998,0.1101,0.2202,0.0,0.15599999999999997,0.1704,0.21860000000000002,,119572000,239144,25
11,flwf2,fmnist,50,dirichlet,0.01,2,1,0,2.3700528469085693,0.1102,0.2204,0.0,0.15579999999999997,0.1704,0.21880000000000002,,131529200,239144,25
12,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.368045902633667,0.1103,0.2206,0.0,0.1556,0.1704,0.219,,143486400,239144,25
13,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.3658428955078126,0.1104,0.2208,0.0,0.15539999999999998,0.1704,0.2192,,155443600,239144,25
14,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.3637301694869994,0.1106,0.2212,0.0,0.15499999999999997,0.1704,0.21960000000000002,,167400800,239144,25
15,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.361356717681885,0.1109,0.2218,0.0,0.15439999999999998,0.1704,0.2202,,179358000,239144,25
16,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.359225030708313,0.1113,0.2226,0.0,0.1536,0.1704,0.221,,191315200,239144,25
17,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.3573790851593017,0.1115,0.223,0.0,0.15319999999999998,0.1704,0.2214,,203272400,239144,25
18,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.3550224468231202,0.1119,0.2238,0.0,0.15239999999999998,0.1704,0.2222,,215229600,239144,25
19,flwf2,fmnist,50,dirichlet,0.01,2,0,0,2.3536182916641235,0.1118,0.2236,0.0,0.15259999999999999,0.1704,0.222,,227186800,239144,25
20,flwf2,fmnist,50,dirichlet,0.01,2,0,1,2.351561762428284,0.1121,0.2242,0.0,0.15199999999999997,0.1704,0.22260000000000002,,239144000,239144,25
