round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,50,dirichlet,0.5,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,flwf2,fmnist,50,dirichlet,0.5,1,1,0,2.9874888983011245,0.4172,0.8344,0.0,-0.8328,0.1704,0.8328,,11957200,239144,25
2,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.146165967738629,0.436,0.872,0.0,-0.03759999999999997,0.1704,0.8704,,23914400,239144,25
3,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.181833639538288,0.4444,0.8888,0.0,-0.016800000000000037,0.1704,0.8872,,35871600,239144,25
4,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.473732155990601,0.4483,0.8966,0.0,-0.007799999999999918,0.1704,0.8949999999999999,,47828800,239144,25
5,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.400955031967163,0.4496,0.8992,0.0,-0.0026000000000000467,0.1704,0.8976,,59786000,239144,25
6,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.6442481278002266,0.4507,0.9014,0.0,-0.0021999999999999797,0.1704,0.8997999999999999,,71743200,239144,25
7,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.522277339315415,0.448,0.896,0.0,0.00539999999999996,0.1704,0.8944,,83700400,239144,25
8,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.7662961921274665,0.4551,0.9102,0.0,-0.00880000000000003,0.1704,0.9086,,95657600,239144,25
9,flwf2,fmnist,50,dirichlet,0.5,1,0,0,4.810303967446089,0.4551,0.9102,0.0,0.0,0.1704,0.9086,,107614800,239144,25
10,flwf2,fmnist,50,dirichlet,0.5,1,0,1,4.832693720030784,0.4535,0.907,0.0,0.0031999999999999806,0.1704,0.9054,,119572000,239144,25
11,flwf2,fmnist,50,dirichlet,0.5,2,1,0,4.724197082227469,0.4533,0.9066,0.0,0.0036000000000000476,0.1704,0.9049999999999999,,131529200,239144,25
12,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.625202928781509,0.4534,0.9068,0.0,0.0033999999999999586,0.1704,0.9052,,143486400,239144,25
13,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.548792829340696,0.4534,0.9068,0.0,0.0033999999999999586,0.1704,0.9052,,155443600,239144,25
14,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.461300322139263,0.4534,0.9068,0.0,0.0033999999999999586,0.1704,0.9052,,167400800,239144,25
15,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.38509372381568,0.4534,0.9068,0.0,0.0033999999999999586,0.1704,0.9052,,179358000,239144,25
16,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.312635041284561,0.4534,0.9068,0.0,0.0033999999999999586,0.1704,0.9052,,191315200,239144,25
17,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.240012499153614,0.4533,0.9066,0.0,0.0036000000000000476,0.1704,0.9049999999999999,,203272400,239144,25
18,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.170414356011152,0.4532,0.9064,0.0,0.0038000000000000256,0.1704,0.9047999999999999,,215229600,239144,25
19,flwf2,fmnist,50,dirichlet,0.5,2,0,0,4.107570201927423,0.4532,0.9064,0.0,0.0038000000000000256,0.1704,0.9047999999999999,,227186800,239144,25
20,flwf2,fmnist,50,dirichlet,0.5,2,0,1,4.0430935769617555,0.4531,0.9062,0.0,0.0040000000000000036,0.1704,0.9046,,239144000,239144,25
