round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,50,dirichlet,1.0,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,flwf2,fmnist,50,dirichlet,1.0,1,1,0,3.7918508682608603,0.4197,0.8394,0.0,-0.8378,0.1704,0.8378,,11957200,239144,25
2,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.499128389012814,0.437,0.874,0.0,-0.034599999999999964,0.1704,0.8724,,23914400,239144,25
3,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.640824788320065,0.4464,0.8928,0.0,-0.01880000000000004,0.1704,0.8912,,35871600,239144,25
4,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.718928632903099,0.448,0.896,0.0,-0.0031999999999999806,0.1704,0.8944,,47828800,239144,25
5,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.8060891778945924,0.4502,0.9004,0.0,-0.0043999999999999595,0.1704,0.8987999999999999,,59786000,239144,25
6,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.8099252215147015,0.4513,0.9026,0.0,-0.0021999999999999797,0.1704,0.9009999999999999,,71743200,239144,25
7,flwf2,fmnist,50,dirichlet,1.0,1,0,0,5.075746583151817,0.4524,0.9048,0.0,-0.0022000000000000908,0.1704,0.9032,,83700400,239144,25
8,flwf2,fmnist,50,dirichlet,1.0,1,0,0,4.858008178532123,0.4512,0.9024,0.0,0.0024000000000000687,0.1704,0.9007999999999999,,95657600,239144,25
9,flwf2,fmnist,50,dirichlet,1.0,1,0,0,5.109888356667757,0.4553,0.9106,0.0,-0.005799999999999916,0.1704,0.9089999999999999,,107614800,239144,25
10,flwf2,fmnist,50,dirichlet,1.0,1,0,1,4.9806698370099065,0.455,0.91,0.0,0.0005999999999999339,0.1704,0.9084,,119572000,239144,25
11,flwf2,fmnist,50,dirichlet,1.0,2,1,0,4.850063894277811,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,131529200,239144,25
12,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.7386596116483215,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,143486400,239144,25
13,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.6447278951108455,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,155443600,239144,25
14,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.546797958832979,0.4548,0.9096,0.0,0.0010000000000000009,0.1704,0.9079999999999999,,167400800,239144,25
15,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.452837680119276,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,179358000,239144,25
16,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.364441903698444,0.455,0.91,0.0,0.0005999999999999339,0.1704,0.9084,,191315200,239144,25
17,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.279954767662287,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,203272400,239144,25
18,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.200812826520204,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,215229600,239144,25
19,flwf2,fmnist,50,dirichlet,1.0,2,0,0,4.127226225036383,0.4549,0.9098,0.0,0.0007999999999999119,0.1704,0.9082,,227186800,239144,25
20,flwf2,fmnist,50,dirichlet,1.0,2,0,1,4.055881701910495,0.4547,0.9094,0.0,0.0011999999999999789,0.1704,0.9077999999999999,,239144000,239144,25
