round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,fmnist,50,iid,,1,0,0,2.3071413827896117,0.086,0.0016,0.1704,0.0,0.0,,,0,239144,25
1,flwf2,fmnist,50,iid,,1,1,0,4.7105024229526515,0.4284,0.8568,0.0,-0.8552,0.1704,0.8552,,11957200,239144,25
2,flwf2,fmnist,50,iid,,1,0,0,5.132291390097142,0.4414,0.8828,0.0,-0.026000000000000023,0.1704,0.8812,,23914400,239144,25
3,flwf2,fmnist,50,iid,,1,0,0,5.016224763143063,0.4457,0.8914,0.0,-0.008599999999999941,0.1704,0.8897999999999999,,35871600,239144,25
4,flwf2,fmnist,50,iid,,1,0,0,5.152842757475376,0.4494,0.8988,0.0,-0.007400000000000073,0.1704,0.8972,,47828800,239144,25
5,flwf2,fmnist,50,iid,,1,0,0,5.254888009428978,0.4511,0.9022,0.0,-0.0033999999999999586,0.1704,0.9006,,59786000,239144,25
6,flwf2,fmnist,50,iid,,1,0,0,5.081515836322308,0.4534,0.9068,0.0,-0.0046000000000000485,0.1704,0.9052,,71743200,239144,25
7,flwf2,fmnist,50,iid,,1,0,0,5.291522340667248,0.4543,0.9086,0.0,-0.0017999999999999128,0.1704,0.9069999999999999,,83700400,239144,25
8,flwf2,fmnist,50,iid,,1,0,0,5.188761116468906,0.455,0.91,0.0,-0.0014000000000000679,0.1704,0.9084,,95657600,239144,25
9,flwf2,fmnist,50,iid,,1,0,0,5.297521342790127,0.4556,0.9112,0.0,-0.0011999999999999789,0.1704,0.9096,,107614800,239144,25
10,flwf2,fmnist,50,iid,,1,0,1,5.249169906413555,0.4566,0.9132,0.0,-0.0020000000000000018,0.1704,0.9116,,119572000,239144,25
11,flwf2,fmnist,50,iid,,2,1,0,5.109097673392296,0.4566,0.9132,0.0,0.0,0.1704,0.9116,,131529200,239144,25
12,flwf2,fmnist,50,iid,,2,0,0,4.9787810765981675,0.4566,0.9132,0.0,0.0,0.1704,0.9116,,143486400,239144,25
13,flwf2,fmnist,50,iid,,2,0,0,4.857061228859425,0.4564,0.9128,0.0,0.00040000000000006697,0.1704,0.9111999999999999,,155443600,239144,25
14,flwf2,fmnist,50,iid,,2,0,0,4.74279323849678,0.4563,0.9126,0.0,0.0006000000000000449,0.1704,0.9109999999999999,,167400800,239144,25
15,flwf2,fmnist,50,iid,,2,0,0,4.636015327787399,0.4565,0.913,0.0,0.00019999999999997797,0.1704,0.9114,,179358000,239144,25
16,flwf2,fmnist,50,iid,,2,0,0,4.535536404168606,0.4563,0.9126,0.0,0.0006000000000000449,0.1704,0.9109999999999999,,191315200,239144,25
17,flwf2,fmnist,50,iid,,2,0,0,4.4403152901887895,0.4566,0.9132,0.0,0.0,0.1704,0.9116,,203272400,239144,25
18,flwf2,fmnist,50,iid,,2,0,0,4.349274875986576,0.4566,0.9132,0.0,0.0,0.1704,0.9116,,215229600,239144,25
19,flwf2,fmnist,50,iid,,2,0,0,4.263328717696667,0.4565,0.913,0.0,0.00019999999999997797,0.1704,0.9114,,227186800,239144,25
20,flwf2,fmnist,50,iid,,2,0,1,4.180894252038002,0.4567,0.9134,0.0,-0.00019999999999997797,0.1704,0.9117999999999999,,239144000,239144,25
