round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,100,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,flwf2,mnist,100,dirichlet,0.01,1,1,0,13.658932217407227,0.1054,0.2050982681455536,0.0,-0.2037361354349095,0.17383254474387985,0.2037361354349095,,23914400,239144,50
2,flwf2,mnist,100,dirichlet,0.01,1,0,0,8.0508814743042,0.101,0.1965362911072193,0.0,0.008561977038334306,0.17383254474387985,0.1951741583965752,,47828800,239144,50
3,flwf2,mnist,100,dirichlet,0.01,1,0,0,2.4579910430908205,0.1032,0.20081727962638646,0.0,0.004280988519167139,0.17383254474387985,0.19945514691574237,,71743200,239144,50
4,flwf2,mnist,100,dirichlet,0.01,1,0,0,6.501961562728882,0.098,0.1906985794901732,0.0,0.01439968865538041,0.17383254474387985,0.1893364467795291,,95657600,239144,50
5,flwf2,mnist,100,dirichlet,0.01,1,0,0,8.364235776519775,0.2136,0.4156450671336836,0.0,-0.21054679898813,0.17383254474387985,0.4142829344230395,,119572000,239144,50
6,flwf2,mnist,100,dirichlet,0.01,1,0,0,12.86387636871338,0.101,0.1965362911072193,0.0,0.2191087760264643,0.17383254474387985,0.1951741583965752,,143486400,239144,50
7,flwf2,mnist,100,dirichlet,0.01,1,0,0,7.936975096893311,0.1147,0.22319517415839657,0.0,0.19244989297528703,0.17383254474387985,0.22183304144775248,,167400800,239144,50
8,flwf2,mnist,100,dirichlet,0.01,1,0,0,2.433402373504639,0.248,0.4825841603424791,0.0,-0.06693909320879549,0.17383254474387985,0.48122202763183497,,191315200,239144,50
9,flwf2,mnist,100,dirichlet,0.01,1,0,0,8.647818117523194,0.101,0.1965362911072193,0.0,0.2860478692352598,0.17383254474387985,0.1951741583965752,,215229600,239144,50
10,flwf2,mnist,100,dirichlet,0.01,1,0,1,6.419992849349976,0.3001,0.5839657520918466,0.0,-0.10138159174936756,0.17383254474387985,0.5826036193812025,,239144000,239144,50
11,flwf2,mnist,100,dirichlet,0.01,2,1,0,6.336330532455444,0.3,0.5837711617046117,0.0,0.0001945903872349053,0.17383254474387985,0.5824090289939676,,263058400,239144,50
12,flwf2,mnist,100,dirichlet,0.01,2,0,0,6.261961377716064,0.2999,0.583576571317377,0.0,0.00038918077446969956,0.17383254474387985,0.5822144386067328,,286972800,239144,50
13,flwf2,mnist,100,dirichlet,0.01,2,0,0,6.181368420791626,0.2998,0.583381980930142,0.0,0.0005837711617046049,0.17383254474387985,0.5820198482194979,,310887200,239144,50
14,flwf2,mnist,100,dirichlet,0.01,2,0,0,6.116557326126099,0.2998,0.583381980930142,0.0,0.0005837711617046049,0.17383254474387985,0.5820198482194979,,334801600,239144,50
15,flwf2,mnist,100,dirichlet,0.01,2,0,0,6.0631796459198,0.2997,0.5831873905429071,0.0,0.0007783615489395102,0.17383254474387985,0.581825257832263,,358716000,239144,50
16,flwf2,mnist,100,dirichlet,0.01,2,0,0,6.014910355377197,0.2996,0.5829928001556723,0.0,0.0009729519361743044,0.17383254474387985,0.5816306674450282,,382630400,239144,50
17,flwf2,mnist,100,dirichlet,0.01,2,0,0,5.958690461349487,0.2996,0.5829928001556723,0.0,0.0009729519361743044,0.17383254474387985,0.5816306674450282,,406544800,239144,50
18,flwf2,mnist,100,dirichlet,0.01,2,0,0,5.905960753631592,0.2995,0.5827982097684374,0.0,0.0011675423234092097,0.17383254474387985,0.5814360770577933,,430459200,239144,50
19,flwf2,mnist,100,dirichlet,0.01,2,0,0,5.859404402923584,0.2995,0.5827982097684374,0.0,0.0011675423234092097,0.17383254474387985,0.5814360770577933,,454373600,239144,50
20,flwf2,mnist,100,dirichlet,0.01,2,0,1,5.815569749832154,0.2995,0.5827982097684374,0.0,0.0011675423234092097,0.17383254474387985,0.5814360770577933,,478288000,239144,50
