round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,100,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,flwf2,mnist,100,dirichlet,0.1,1,1,0,3.60350875749588,0.3652,0.7106440941817475,0.0,-0.7092819614711033,0.17383254474387985,0.7092819614711033,,23914400,239144,50
2,flwf2,mnist,100,dirichlet,0.1,1,0,0,4.888003740215302,0.4779,0.9299474605954466,0.0,-0.21930336641369919,0.17383254474387985,0.9285853278848025,,47828800,239144,50
3,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.158111530509591,0.499,0.9710060323020043,0.0,-0.04105857170655769,0.17383254474387985,0.9696438995913602,,71743200,239144,50
4,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.401425699400157,0.4971,0.9673088149445418,0.0,0.0036972173574625344,0.17383254474387985,0.9659466822338977,,95657600,239144,50
5,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.770847615618258,0.496,0.9651683206849582,0.0,0.00583771161704616,0.17383254474387985,0.963806187974314,,119572000,239144,50
6,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.650699293589219,0.4954,0.964000778361549,0.0,0.007005253940455369,0.17383254474387985,0.9626386456509048,,143486400,239144,50
7,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.677662454080023,0.5033,0.9793734189531037,0.0,-0.008367386651099373,0.17383254474387985,0.9780112862424596,,167400800,239144,50
8,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.414986811796576,0.5019,0.9766491535318156,0.0,0.002724265421288119,0.17383254474387985,0.9752870208211715,,191315200,239144,50
9,flwf2,mnist,100,dirichlet,0.1,1,0,0,6.41843400160484,0.5029,0.9785950574041642,0.0,0.0007783615489395102,0.17383254474387985,0.9772329246935201,,215229600,239144,50
10,flwf2,mnist,100,dirichlet,0.1,1,0,1,6.668392373698577,0.5042,0.9811247324382175,0.0,-0.0017513134851138146,0.17383254474387985,0.9797625997275734,,239144000,239144,50
11,flwf2,mnist,100,dirichlet,0.1,2,1,0,6.394989310653135,0.5043,0.9813193228254524,0.0,-0.0001945903872349053,0.17383254474387985,0.9799571901148083,,263058400,239144,50
12,flwf2,mnist,100,dirichlet,0.1,2,0,0,6.130480127264559,0.5044,0.9815139132126873,0.0,-0.0001945903872349053,0.17383254474387985,0.9801517805020432,,286972800,239144,50
13,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.937395800397917,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,310887200,239144,50
14,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.7561109320331365,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,334801600,239144,50
15,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.594432855465263,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,358716000,239144,50
16,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.441732643534988,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,382630400,239144,50
17,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.300887695436924,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,406544800,239144,50
18,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.186571107338369,0.5043,0.9813193228254524,0.0,0.0001945903872349053,0.17383254474387985,0.9799571901148083,,430459200,239144,50
19,flwf2,mnist,100,dirichlet,0.1,2,0,0,5.076735716038197,0.5044,0.9815139132126873,0.0,0.0,0.17383254474387985,0.9801517805020432,,454373600,239144,50
20,flwf2,mnist,100,dirichlet,0.1,2,0,1,4.9762486407075075,0.5044,0.9815139132126873,0.0,0.0,0.17383254474387985,0.9801517805020432,,478288000,239144,50
