round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,100,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,flwf2,mnist,100,dirichlet,0.5,1,1,0,5.18938871948719,0.4976,0.9682817668807161,0.0,-0.966919634170072,0.17383254474387985,0.966919634170072,,23914400,239144,50
2,flwf2,mnist,100,dirichlet,0.5,1,0,0,7.775095428063161,0.5005,0.9739248881105274,0.0,-0.005643121229811254,0.17383254474387985,0.9725627553998832,,47828800,239144,50
3,flwf2,mnist,100,dirichlet,0.5,1,0,0,8.009671461937296,0.5022,0.9772329246935202,0.0,-0.003308036582992835,0.17383254474387985,0.9758707919828761,,71743200,239144,50
4,flwf2,mnist,100,dirichlet,0.5,1,0,0,7.563647537019663,0.505,0.9826814555360965,0.0,-0.005448530842576349,0.17383254474387985,0.9813193228254524,,95657600,239144,50
5,flwf2,mnist,100,dirichlet,0.5,1,0,0,7.984575826862175,0.5062,0.985016540182915,0.0,-0.0023350846468184194,0.17383254474387985,0.9836544074722708,,119572000,239144,50
6,flwf2,mnist,100,dirichlet,0.5,1,0,0,7.949447586692311,0.5069,0.9863786728935591,0.0,-0.001362132710644115,0.17383254474387985,0.985016540182915,,143486400,239144,50
7,flwf2,mnist,100,dirichlet,0.5,1,0,0,8.166129545937107,0.5069,0.9863786728935591,0.0,0.0,0.17383254474387985,0.985016540182915,,167400800,239144,50
8,flwf2,mnist,100,dirichlet,0.5,1,0,0,8.09235607373973,0.5079,0.9883245767659078,0.0,-0.0019459038723487199,0.17383254474387985,0.9869624440552637,,191315200,239144,50
9,flwf2,mnist,100,dirichlet,0.5,1,0,0,8.097646340374322,0.5086,0.9896867094765519,0.0,-0.001362132710644115,0.17383254474387985,0.9883245767659078,,215229600,239144,50
10,flwf2,mnist,100,dirichlet,0.5,1,0,1,8.094811397853773,0.5087,0.9898812998637867,0.0,-0.00019459038723479427,0.17383254474387985,0.9885191671531426,,239144000,239144,50
11,flwf2,mnist,100,dirichlet,0.5,2,1,0,7.453073644985282,0.5086,0.9896867094765519,0.0,0.00019459038723479427,0.17383254474387985,0.9883245767659078,,263058400,239144,50
12,flwf2,mnist,100,dirichlet,0.5,2,0,0,6.990897041000845,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,286972800,239144,50
13,flwf2,mnist,100,dirichlet,0.5,2,0,0,6.638359274504171,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,310887200,239144,50
14,flwf2,mnist,100,dirichlet,0.5,2,0,0,6.346480048492132,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,334801600,239144,50
15,flwf2,mnist,100,dirichlet,0.5,2,0,0,6.093407131278329,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,358716000,239144,50
16,flwf2,mnist,100,dirichlet,0.5,2,0,0,5.8768641009055544,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,382630400,239144,50
17,flwf2,mnist,100,dirichlet,0.5,2,0,0,5.689031033536885,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,406544800,239144,50
18,flwf2,mnist,100,dirichlet,0.5,2,0,0,5.516760055844067,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,430459200,239144,50
19,flwf2,mnist,100,dirichlet,0.5,2,0,0,5.359800291522359,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,454373600,239144,50
20,flwf2,mnist,100,dirichlet,0.5,2,0,1,5.212393377782125,0.5084,0.9892975287020821,0.0,0.0005837711617046049,0.17383254474387985,0.987935395991438,,478288000,239144,50
