round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,100,dirichlet,1.0,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,flwf2,mnist,100,dirichlet,1.0,1,1,0,7.181035713717342,0.4981,0.9692547188168904,0.0,-0.9678925861062463,0.17383254474387985,0.9678925861062463,,23914400,239144,50
2,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.705937417529244,0.5023,0.977427515080755,0.0,-0.008172796263864579,0.17383254474387985,0.9760653823701109,,47828800,239144,50
3,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.92775495136641,0.5048,0.9822922747616267,0.0,-0.004864759680871744,0.17383254474387985,0.9809301420509826,,71743200,239144,50
4,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.784341619242168,0.5052,0.9830706363105662,0.0,-0.0007783615489395102,0.17383254474387985,0.9817085035999221,,95657600,239144,50
5,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.706808410537569,0.5064,0.9854057209573847,0.0,-0.0023350846468184194,0.17383254474387985,0.9840435882467405,,119572000,239144,50
6,flwf2,mnist,100,dirichlet,1.0,1,0,0,9.108891634953022,0.5069,0.9863786728935591,0.0,-0.0009729519361744154,0.17383254474387985,0.985016540182915,,143486400,239144,50
7,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.767429651525802,0.5074,0.9873516248297334,0.0,-0.0009729519361743044,0.17383254474387985,0.9859894921190893,,167400800,239144,50
8,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.648483839871618,0.508,0.9885191671531426,0.0,-0.0011675423234092097,0.17383254474387985,0.9871570344424985,,191315200,239144,50
9,flwf2,mnist,100,dirichlet,1.0,1,0,0,8.954374741812178,0.5086,0.9896867094765519,0.0,-0.0011675423234093207,0.17383254474387985,0.9883245767659078,,215229600,239144,50
10,flwf2,mnist,100,dirichlet,1.0,1,0,1,8.883478680277209,0.5089,0.9902704806382565,0.0,-0.0005837711617046049,0.17383254474387985,0.9889083479276124,,239144000,239144,50
11,flwf2,mnist,100,dirichlet,1.0,2,1,0,8.008836348758544,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,263058400,239144,50
12,flwf2,mnist,100,dirichlet,1.0,2,0,0,7.41927346438414,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,286972800,239144,50
13,flwf2,mnist,100,dirichlet,1.0,2,0,0,6.959127368989726,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,310887200,239144,50
14,flwf2,mnist,100,dirichlet,1.0,2,0,0,6.595905905647087,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,334801600,239144,50
15,flwf2,mnist,100,dirichlet,1.0,2,0,0,6.303814410299668,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,358716000,239144,50
16,flwf2,mnist,100,dirichlet,1.0,2,0,0,6.0541901752097065,0.5088,0.9900758902510216,0.0,0.0001945903872349053,0.17383254474387985,0.9887137575403775,,382630400,239144,50
17,flwf2,mnist,100,dirichlet,1.0,2,0,0,5.836724546374893,0.5088,0.9900758902510216,0.0,0.0001945903872349053,0.17383254474387985,0.9887137575403775,,406544800,239144,50
18,flwf2,mnist,100,dirichlet,1.0,2,0,0,5.644770352399046,0.5088,0.9900758902510216,0.0,0.0001945903872349053,0.17383254474387985,0.9887137575403775,,430459200,239144,50
19,flwf2,mnist,100,dirichlet,1.0,2,0,0,5.474779033369804,0.5088,0.9900758902510216,0.0,0.0001945903872349053,0.17383254474387985,0.9887137575403775,,454373600,239144,50
20,flwf2,mnist,100,dirichlet,1.0,2,0,1,5.319268516651704,0.5089,0.9902704806382565,0.0,0.0,0.17383254474387985,0.9889083479276124,,478288000,239144,50
