round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,100,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,50
1,flwf2,mnist,100,iid,,1,1,0,7.401269299247116,0.4987,0.9704222611402997,0.0,-0.9690601284296556,0.17383254474387985,0.9690601284296556,,23914400,239144,50
2,flwf2,mnist,100,iid,,1,0,0,9.342117403106112,0.5028,0.9784004670169294,0.0,-0.007978205876629674,0.17383254474387985,0.9770383343062853,,47828800,239144,50
3,flwf2,mnist,100,iid,,1,0,0,9.7922251652102,0.5044,0.9815139132126873,0.0,-0.0031134461957579296,0.17383254474387985,0.9801517805020432,,71743200,239144,50
4,flwf2,mnist,100,iid,,1,0,0,9.753946864026226,0.5057,0.9840435882467407,0.0,-0.0025296750340533247,0.17383254474387985,0.9826814555360965,,95657600,239144,50
5,flwf2,mnist,100,iid,,1,0,0,9.814224868033081,0.5063,0.9852111305701499,0.0,-0.0011675423234092097,0.17383254474387985,0.9838489978595057,,119572000,239144,50
6,flwf2,mnist,100,iid,,1,0,0,9.975663359127706,0.5068,0.9861840825063242,0.0,-0.0009729519361743044,0.17383254474387985,0.98482194979568,,143486400,239144,50
7,flwf2,mnist,100,iid,,1,0,0,10.07211815461018,0.5072,0.9869624440552637,0.0,-0.0007783615489395102,0.17383254474387985,0.9856003113446196,,167400800,239144,50
8,flwf2,mnist,100,iid,,1,0,0,10.027852768468321,0.5077,0.987935395991438,0.0,-0.0009729519361743044,0.17383254474387985,0.9865732632807939,,191315200,239144,50
9,flwf2,mnist,100,iid,,1,0,0,10.028782994063548,0.5084,0.9892975287020821,0.0,-0.001362132710644115,0.17383254474387985,0.987935395991438,,215229600,239144,50
10,flwf2,mnist,100,iid,,1,0,1,9.995542276015517,0.5087,0.9898812998637867,0.0,-0.0005837711617046049,0.17383254474387985,0.9885191671531426,,239144000,239144,50
11,flwf2,mnist,100,iid,,2,1,0,8.758110468833149,0.5087,0.9898812998637867,0.0,0.0,0.17383254474387985,0.9885191671531426,,263058400,239144,50
12,flwf2,mnist,100,iid,,2,0,0,7.9135695652026685,0.5088,0.9900758902510216,0.0,-0.0001945903872349053,0.17383254474387985,0.9887137575403775,,286972800,239144,50
13,flwf2,mnist,100,iid,,2,0,0,7.308537056283304,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,310887200,239144,50
14,flwf2,mnist,100,iid,,2,0,0,6.854771393157309,0.5087,0.9898812998637867,0.0,0.0001945903872349053,0.17383254474387985,0.9885191671531426,,334801600,239144,50
15,flwf2,mnist,100,iid,,2,0,0,6.4995299250625305,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,358716000,239144,50
16,flwf2,mnist,100,iid,,2,0,0,6.210737247836194,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,382630400,239144,50
17,flwf2,mnist,100,iid,,2,0,0,5.963678243391286,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,406544800,239144,50
18,flwf2,mnist,100,iid,,2,0,0,5.751679729255312,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,430459200,239144,50
19,flwf2,mnist,100,iid,,2,0,0,5.565673691501422,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,454373600,239144,50
20,flwf2,mnist,100,iid,,2,0,1,5.397261405323702,0.5088,0.9900758902510216,0.0,0.0,0.17383254474387985,0.9887137575403775,,478288000,239144,50
