round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,10,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,flwf2,mnist,10,dirichlet,0.01,1,1,0,11.089605850219726,0.1246,0.24245962249464875,0.0,-0.24109748978400466,0.17383254474387985,0.24109748978400466,,2391440,239144,5
2,flwf2,mnist,10,dirichlet,0.01,1,0,0,30.33952011413574,0.101,0.1965362911072193,0.0,0.04592333138742946,0.17383254474387985,0.1951741583965752,,4782880,239144,5
3,flwf2,mnist,10,dirichlet,0.01,1,0,0,21.71808207397461,0.1135,0.22086008951157812,0.0,0.02159953298307063,0.17383254474387985,0.21949795680093404,,7174320,239144,5
4,flwf2,mnist,10,dirichlet,0.01,1,0,0,17.2466896484375,0.1763,0.34306285269507686,0.0,-0.1006032302004281,0.17383254474387985,0.34170071998443274,,9565760,239144,5
5,flwf2,mnist,10,dirichlet,0.01,1,0,0,25.12195309448242,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,11957200,239144,5
6,flwf2,mnist,10,dirichlet,0.01,1,0,0,66.87741807861327,0.1135,0.22086008951157812,0.0,0.12220276318349874,0.17383254474387985,0.21949795680093404,,14348640,239144,5
7,flwf2,mnist,10,dirichlet,0.01,1,0,0,64.12006651611328,0.101,0.1965362911072193,0.0,0.14652656158785757,0.17383254474387985,0.1951741583965752,,16740080,239144,5
8,flwf2,mnist,10,dirichlet,0.01,1,0,0,22.47675297241211,0.1036,0.20159564117532594,0.0,0.14146721151975092,0.17383254474387985,0.20023350846468185,,19131520,239144,5
9,flwf2,mnist,10,dirichlet,0.01,1,0,0,44.83882233886719,0.098,0.1906985794901732,0.0,0.15236427320490367,0.17383254474387985,0.1893364467795291,,21522960,239144,5
10,flwf2,mnist,10,dirichlet,0.01,1,0,1,151.8548229248047,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,23914400,239144,5
11,flwf2,mnist,10,dirichlet,0.01,2,1,0,57.5671826171875,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,26305840,239144,5
12,flwf2,mnist,10,dirichlet,0.01,2,0,0,35.87256715698242,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,28697280,239144,5
13,flwf2,mnist,10,dirichlet,0.01,2,0,0,30.399315887451174,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,31088720,239144,5
14,flwf2,mnist,10,dirichlet,0.01,2,0,0,27.774080364990233,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,33480160,239144,5
15,flwf2,mnist,10,dirichlet,0.01,2,0,0,26.158116217041016,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,35871600,239144,5
16,flwf2,mnist,10,dirichlet,0.01,2,0,0,24.879851470947266,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,38263040,239144,5
17,flwf2,mnist,10,dirichlet,0.01,2,0,0,23.23261716003418,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,40654480,239144,5
18,flwf2,mnist,10,dirichlet,0.01,2,0,0,22.563975329589844,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,43045920,239144,5
19,flwf2,mnist,10,dirichlet,0.01,2,0,0,21.967313049316406,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,45437360,239144,5
20,flwf2,mnist,10,dirichlet,0.01,2,0,1,21.633733416748047,0.0982,0.19108776026464291,0.0,0.15197509243043394,0.17383254474387985,0.18972562755399883,,47828800,239144,5
