round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,10,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,flwf2,mnist,10,dirichlet,0.1,1,1,0,6.699235535526276,0.3329,0.6477913991048843,0.0,-0.6464292663942401,0.17383254474387985,0.6464292663942401,,2391440,239144,5
2,flwf2,mnist,10,dirichlet,0.1,1,0,0,4.639325613641739,0.3288,0.6398131932282545,0.0,0.007978205876629785,0.17383254474387985,0.6384510605176104,,4782880,239144,5
3,flwf2,mnist,10,dirichlet,0.1,1,0,0,6.827560091538727,0.4847,0.9431796069274178,0.0,-0.2953882078225335,0.17383254474387985,0.9418174742167736,,7174320,239144,5
4,flwf2,mnist,10,dirichlet,0.1,1,0,0,7.899076035318361,0.5092,0.9908542517999611,0.0,-0.04767464487254336,0.17383254474387985,0.989492119089317,,9565760,239144,5
5,flwf2,mnist,10,dirichlet,0.1,1,0,0,8.576329327630624,0.5031,0.978984238178634,0.0,0.011870013621327113,0.17383254474387985,0.9776221054679899,,11957200,239144,5
6,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.283974357196689,0.5091,0.9906596614127262,0.0,0.0001945903872349053,0.17383254474387985,0.9892975287020821,,14348640,239144,5
7,flwf2,mnist,10,dirichlet,0.1,1,0,0,8.70518654011637,0.5064,0.9854057209573847,0.0,0.00544853084257646,0.17383254474387985,0.9840435882467405,,16740080,239144,5
8,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.086260671374946,0.4895,0.9525199455146915,0.0,0.03833430628526957,0.17383254474387985,0.9511578128040474,,19131520,239144,5
9,flwf2,mnist,10,dirichlet,0.1,1,0,0,9.471045218689927,0.5025,0.9778166958552248,0.0,0.013037555944736323,0.17383254474387985,0.9764545631445807,,21522960,239144,5
10,flwf2,mnist,10,dirichlet,0.1,1,0,1,10.327964381501264,0.5052,0.9830706363105662,0.0,0.0077836154893948795,0.17383254474387985,0.9817085035999221,,23914400,239144,5
11,flwf2,mnist,10,dirichlet,0.1,2,1,0,8.27011640821062,0.5052,0.9830706363105662,0.0,0.0077836154893948795,0.17383254474387985,0.9817085035999221,,26305840,239144,5
12,flwf2,mnist,10,dirichlet,0.1,2,0,0,7.376802423587628,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,28697280,239144,5
13,flwf2,mnist,10,dirichlet,0.1,2,0,0,6.767066997697111,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,31088720,239144,5
14,flwf2,mnist,10,dirichlet,0.1,2,0,0,6.269358497521933,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,33480160,239144,5
15,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.930151119455602,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,35871600,239144,5
16,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.653551459723524,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,38263040,239144,5
17,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.450187603369262,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,40654480,239144,5
18,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.263689657748677,0.5051,0.9828760459233314,0.0,0.007978205876629674,0.17383254474387985,0.9815139132126873,,43045920,239144,5
19,flwf2,mnist,10,dirichlet,0.1,2,0,0,5.103149677883275,0.5052,0.9830706363105662,0.0,0.0077836154893948795,0.17383254474387985,0.9817085035999221,,45437360,239144,5
20,flwf2,mnist,10,dirichlet,0.1,2,0,1,4.953720871698484,0.5052,0.9830706363105662,0.0,0.0077836154893948795,0.17383254474387985,0.9817085035999221,,47828800,239144,5
