round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,10,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,flwf2,mnist,10,dirichlet,0.5,1,1,0,5.995228742816299,0.4749,0.9241097489784005,0.0,-0.9227476162677564,0.17383254474387985,0.9227476162677564,,2391440,239144,5
2,flwf2,mnist,10,dirichlet,0.5,1,0,0,7.095590338129783,0.5103,0.9929947460595446,0.0,-0.06888499708114415,0.17383254474387985,0.9916326133489005,,4782880,239144,5
3,flwf2,mnist,10,dirichlet,0.5,1,0,0,8.143500308326015,0.5085,0.989492119089317,0.0,0.003502626970227629,0.17383254474387985,0.9881299863786729,,7174320,239144,5
4,flwf2,mnist,10,dirichlet,0.5,1,0,0,8.358557274799749,0.5119,0.9961081922553026,0.0,-0.0031134461957579296,0.17383254474387985,0.9947460595446584,,9565760,239144,5
5,flwf2,mnist,10,dirichlet,0.5,1,0,0,8.53822902574406,0.512,0.9963027826425375,0.0,-0.0001945903872349053,0.17383254474387985,0.9949406499318934,,11957200,239144,5
6,flwf2,mnist,10,dirichlet,0.5,1,0,0,9.033690552170686,0.512,0.9963027826425375,0.0,0.0,0.17383254474387985,0.9949406499318934,,14348640,239144,5
7,flwf2,mnist,10,dirichlet,0.5,1,0,0,9.048103926135218,0.5118,0.9959136018680678,0.0,0.00038918077446969956,0.17383254474387985,0.9945514691574237,,16740080,239144,5
8,flwf2,mnist,10,dirichlet,0.5,1,0,0,9.503993347060485,0.5124,0.997081144191477,0.0,-0.0007783615489395102,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,flwf2,mnist,10,dirichlet,0.5,1,0,0,10.060942167125285,0.5123,0.9968865538042421,0.0,0.0001945903872349053,0.17383254474387985,0.995524421093598,,21522960,239144,5
10,flwf2,mnist,10,dirichlet,0.5,1,0,1,10.184994347458678,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,23914400,239144,5
11,flwf2,mnist,10,dirichlet,0.5,2,1,0,7.944393972195656,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,26305840,239144,5
12,flwf2,mnist,10,dirichlet,0.5,2,0,0,6.9682754592805285,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,28697280,239144,5
13,flwf2,mnist,10,dirichlet,0.5,2,0,0,6.316301493675348,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,31088720,239144,5
14,flwf2,mnist,10,dirichlet,0.5,2,0,0,5.8603952796374825,0.5124,0.997081144191477,0.0,0.0,0.17383254474387985,0.9957190114808329,,33480160,239144,5
15,flwf2,mnist,10,dirichlet,0.5,2,0,0,5.52505990222563,0.5125,0.9972757345787118,0.0,-0.00019459038723479427,0.17383254474387985,0.9959136018680677,,35871600,239144,5
16,flwf2,mnist,10,dirichlet,0.5,2,0,0,5.266345167140162,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,38263040,239144,5
17,flwf2,mnist,10,dirichlet,0.5,2,0,0,5.058577321224874,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,40654480,239144,5
18,flwf2,mnist,10,dirichlet,0.5,2,0,0,4.8741702840337275,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,43045920,239144,5
19,flwf2,mnist,10,dirichlet,0.5,2,0,0,4.716752290061962,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,45437360,239144,5
20,flwf2,mnist,10,dirichlet,0.5,2,0,1,4.57788683822571,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,47828800,239144,5
