round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,10,dirichlet,1.0,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,flwf2,mnist,10,dirichlet,1.0,1,1,0,7.663317220922163,0.5095,0.9914380229616657,0.0,-0.9900758902510216,0.17383254474387985,0.9900758902510216,,2391440,239144,5
2,flwf2,mnist,10,dirichlet,1.0,1,0,0,8.551202346574318,0.5113,0.9949406499318934,0.0,-0.003502626970227629,0.17383254474387985,0.9935785172212492,,4782880,239144,5
3,flwf2,mnist,10,dirichlet,1.0,1,0,0,9.26819498839166,0.5124,0.997081144191477,0.0,-0.002140494259583625,0.17383254474387985,0.9957190114808329,,7174320,239144,5
4,flwf2,mnist,10,dirichlet,1.0,1,0,0,10.299534547673796,0.5125,0.9972757345787118,0.0,-0.00019459038723479427,0.17383254474387985,0.9959136018680677,,9565760,239144,5
5,flwf2,mnist,10,dirichlet,1.0,1,0,0,10.135801930407887,0.5125,0.9972757345787118,0.0,0.0,0.17383254474387985,0.9959136018680677,,11957200,239144,5
6,flwf2,mnist,10,dirichlet,1.0,1,0,0,11.039202800466583,0.5127,0.9976649153531816,0.0,-0.0003891807744698106,0.17383254474387985,0.9963027826425375,,14348640,239144,5
7,flwf2,mnist,10,dirichlet,1.0,1,0,0,10.407425310758782,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,16740080,239144,5
8,flwf2,mnist,10,dirichlet,1.0,1,0,0,10.586366370968255,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,19131520,239144,5
9,flwf2,mnist,10,dirichlet,1.0,1,0,0,10.838978227082652,0.5121,0.9964973730297724,0.0,0.0011675423234092097,0.17383254474387985,0.9951352403191283,,21522960,239144,5
10,flwf2,mnist,10,dirichlet,1.0,1,0,1,11.129003295101356,0.5123,0.9968865538042421,0.0,0.0007783615489395102,0.17383254474387985,0.995524421093598,,23914400,239144,5
11,flwf2,mnist,10,dirichlet,1.0,2,1,0,7.8969890221643855,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,26305840,239144,5
12,flwf2,mnist,10,dirichlet,1.0,2,0,0,6.701761471364927,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,28697280,239144,5
13,flwf2,mnist,10,dirichlet,1.0,2,0,0,6.088350116609677,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,31088720,239144,5
14,flwf2,mnist,10,dirichlet,1.0,2,0,0,5.688959172323789,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,33480160,239144,5
15,flwf2,mnist,10,dirichlet,1.0,2,0,0,5.3659630342515605,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,35871600,239144,5
16,flwf2,mnist,10,dirichlet,1.0,2,0,0,5.120762830280449,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,38263040,239144,5
17,flwf2,mnist,10,dirichlet,1.0,2,0,0,4.9208520392867365,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,40654480,239144,5
18,flwf2,mnist,10,dirichlet,1.0,2,0,0,4.742281940491491,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,43045920,239144,5
19,flwf2,mnist,10,dirichlet,1.0,2,0,0,4.5896874487143124,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,45437360,239144,5
20,flwf2,mnist,10,dirichlet,1.0,2,0,1,4.4545281266031935,0.5124,0.997081144191477,0.0,0.0005837711617046049,0.17383254474387985,0.9957190114808329,,47828800,239144,5
