round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,10,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,5
1,flwf2,mnist,10,iid,,1,1,0,7.363827944337903,0.5095,0.9914380229616657,0.0,-0.9900758902510216,0.17383254474387985,0.9900758902510216,,2391440,239144,5
2,flwf2,mnist,10,iid,,1,0,0,9.47375899234265,0.511,0.9943568787701887,0.0,-0.0029188558085230243,0.17383254474387985,0.9929947460595446,,4782880,239144,5
3,flwf2,mnist,10,iid,,1,0,0,9.85965693722365,0.5117,0.9957190114808329,0.0,-0.001362132710644115,0.17383254474387985,0.9943568787701887,,7174320,239144,5
4,flwf2,mnist,10,iid,,1,0,0,10.06562026004177,0.5118,0.9959136018680678,0.0,-0.0001945903872349053,0.17383254474387985,0.9945514691574237,,9565760,239144,5
5,flwf2,mnist,10,iid,,1,0,0,10.229759103835562,0.5117,0.9957190114808329,0.0,0.0001945903872349053,0.17383254474387985,0.9943568787701887,,11957200,239144,5
6,flwf2,mnist,10,iid,,1,0,0,10.66863841652864,0.512,0.9963027826425375,0.0,-0.00038918077446969956,0.17383254474387985,0.9949406499318934,,14348640,239144,5
7,flwf2,mnist,10,iid,,1,0,0,10.87927070913867,0.5123,0.9968865538042421,0.0,-0.0005837711617046049,0.17383254474387985,0.995524421093598,,16740080,239144,5
8,flwf2,mnist,10,iid,,1,0,0,11.389790995927278,0.5126,0.9974703249659467,0.0,-0.0005837711617046049,0.17383254474387985,0.9961081922553026,,19131520,239144,5
9,flwf2,mnist,10,iid,,1,0,0,11.85103417061434,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,21522960,239144,5
10,flwf2,mnist,10,iid,,1,0,1,11.773595564267083,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,23914400,239144,5
11,flwf2,mnist,10,iid,,2,1,0,8.013497786436197,0.5124,0.997081144191477,0.0,0.00038918077446969956,0.17383254474387985,0.9957190114808329,,26305840,239144,5
12,flwf2,mnist,10,iid,,2,0,0,6.81998340747036,0.5124,0.997081144191477,0.0,0.00038918077446969956,0.17383254474387985,0.9957190114808329,,28697280,239144,5
13,flwf2,mnist,10,iid,,2,0,0,6.167703552569265,0.5124,0.997081144191477,0.0,0.00038918077446969956,0.17383254474387985,0.9957190114808329,,31088720,239144,5
14,flwf2,mnist,10,iid,,2,0,0,5.733080508554738,0.5124,0.997081144191477,0.0,0.00038918077446969956,0.17383254474387985,0.9957190114808329,,33480160,239144,5
15,flwf2,mnist,10,iid,,2,0,0,5.412575264842207,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,35871600,239144,5
16,flwf2,mnist,10,iid,,2,0,0,5.162332415052479,0.5125,0.9972757345787118,0.0,0.0001945903872349053,0.17383254474387985,0.9959136018680677,,38263040,239144,5
17,flwf2,mnist,10,iid,,2,0,0,4.956422528511884,0.5126,0.9974703249659467,0.0,0.0,0.17383254474387985,0.9961081922553026,,40654480,239144,5
18,flwf2,mnist,10,iid,,2,0,0,4.780847930870872,0.5126,0.9974703249659467,0.0,0.0,0.17383254474387985,0.9961081922553026,,43045920,239144,5
19,flwf2,mnist,10,iid,,2,0,0,4.628328330265554,0.5126,0.9974703249659467,0.0,0.0,0.17383254474387985,0.9961081922553026,,45437360,239144,5
20,flwf2,mnist,10,iid,,2,0,1,4.493354700991361,0.5127,0.9976649153531816,0.0,-0.0001945903872349053,0.17383254474387985,0.9963027826425375,,47828800,239144,5
