round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,50,dirichlet,0.01,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,flwf2,mnist,50,dirichlet,0.01,1,1,0,12.554320790100098,0.202,0.3930725822144386,0.0,-0.39171044950379447,0.17383254474387985,0.39171044950379447,,11957200,239144,25
2,flwf2,mnist,50,dirichlet,0.01,1,0,0,9.422056281280518,0.1135,0.22086008951157812,0.0,0.17221249270286046,0.17383254474387985,0.21949795680093404,,23914400,239144,25
3,flwf2,mnist,50,dirichlet,0.01,1,0,0,24.868251754760742,0.098,0.1906985794901732,0.0,0.2023740027242654,0.17383254474387985,0.1893364467795291,,35871600,239144,25
4,flwf2,mnist,50,dirichlet,0.01,1,0,0,14.233655506896973,0.0758,0.1474995135240319,0.0,0.24557306869040668,0.17383254474387985,0.1461373808133878,,47828800,239144,25
5,flwf2,mnist,50,dirichlet,0.01,1,0,0,23.689019897460938,0.101,0.1965362911072193,0.0,0.1965362911072193,0.17383254474387985,0.1951741583965752,,59786000,239144,25
6,flwf2,mnist,50,dirichlet,0.01,1,0,0,10.40296259765625,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,71743200,239144,25
7,flwf2,mnist,50,dirichlet,0.01,1,0,0,10.92601014328003,0.101,0.1965362911072193,0.0,0.1965362911072193,0.17383254474387985,0.1951741583965752,,83700400,239144,25
8,flwf2,mnist,50,dirichlet,0.01,1,0,0,7.53955270690918,0.1135,0.22086008951157812,0.0,0.17221249270286046,0.17383254474387985,0.21949795680093404,,95657600,239144,25
9,flwf2,mnist,50,dirichlet,0.01,1,0,0,24.79041759033203,0.1032,0.20081727962638646,0.0,0.19225530258805212,0.17383254474387985,0.19945514691574237,,107614800,239144,25
10,flwf2,mnist,50,dirichlet,0.01,1,0,1,4.603553386688232,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,119572000,239144,25
11,flwf2,mnist,50,dirichlet,0.01,2,1,0,4.59241681137085,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,131529200,239144,25
12,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.5796294784545895,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,143486400,239144,25
13,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.566017195892334,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,155443600,239144,25
14,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.552879459381104,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,167400800,239144,25
15,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.540470064544678,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,179358000,239144,25
16,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.528004606628418,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,191315200,239144,25
17,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.514080376434326,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,203272400,239144,25
18,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.501302696990967,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,215229600,239144,25
19,flwf2,mnist,50,dirichlet,0.01,2,0,0,4.488756506347657,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,227186800,239144,25
20,flwf2,mnist,50,dirichlet,0.01,2,0,1,4.476481689453125,0.0982,0.19108776026464291,0.0,0.20198482194979567,0.17383254474387985,0.18972562755399883,,239144000,239144,25
