round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,50,dirichlet,0.1,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,flwf2,mnist,50,dirichlet,0.1,1,1,0,3.5617719232559204,0.3287,0.6396186028410197,0.0,-0.6382564701303756,0.17383254474387985,0.6382564701303756,,11957200,239144,25
2,flwf2,mnist,50,dirichlet,0.1,1,0,0,4.870227101659775,0.4081,0.794123370305507,0.0,-0.15450476746448727,0.17383254474387985,0.7927612375948628,,23914400,239144,25
3,flwf2,mnist,50,dirichlet,0.1,1,0,0,5.285880877065659,0.4439,0.8637867289355906,0.0,-0.06966335863008366,0.17383254474387985,0.8624245962249465,,35871600,239144,25
4,flwf2,mnist,50,dirichlet,0.1,1,0,0,5.745693646812439,0.3891,0.7571511967308815,0.0,0.10663553220470912,0.17383254474387985,0.7557890640202374,,47828800,239144,25
5,flwf2,mnist,50,dirichlet,0.1,1,0,0,5.777407002747059,0.4242,0.825452422650321,0.0,0.03833430628526957,0.17383254474387985,0.8240902899396769,,59786000,239144,25
6,flwf2,mnist,50,dirichlet,0.1,1,0,0,4.494856342273951,0.4581,0.8914185639229422,0.0,-0.027631834987351556,0.17383254474387985,0.890056431212298,,71743200,239144,25
7,flwf2,mnist,50,dirichlet,0.1,1,0,0,6.3944311752267184,0.4419,0.8598949211908932,0.0,0.031523642732048995,0.17383254474387985,0.858532788480249,,83700400,239144,25
8,flwf2,mnist,50,dirichlet,0.1,1,0,0,5.398257134410739,0.4888,0.9511578128040474,0.0,-0.05973924888110527,0.17383254474387985,0.9497956800934033,,95657600,239144,25
9,flwf2,mnist,50,dirichlet,0.1,1,0,0,6.4436665396302,0.4908,0.9550496205487449,0.0,-0.0038918077446974397,0.17383254474387985,0.9536874878381008,,107614800,239144,25
10,flwf2,mnist,50,dirichlet,0.1,1,0,1,5.771147313987557,0.5056,0.9838489978595057,0.0,-0.028799377310760876,0.17383254474387985,0.9824868651488616,,119572000,239144,25
11,flwf2,mnist,50,dirichlet,0.1,2,1,0,5.57064772096374,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,131529200,239144,25
12,flwf2,mnist,50,dirichlet,0.1,2,0,0,5.406334330384852,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,143486400,239144,25
13,flwf2,mnist,50,dirichlet,0.1,2,0,0,5.255760995247541,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,155443600,239144,25
14,flwf2,mnist,50,dirichlet,0.1,2,0,0,5.118803861012496,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,167400800,239144,25
15,flwf2,mnist,50,dirichlet,0.1,2,0,0,4.994508409025194,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,179358000,239144,25
16,flwf2,mnist,50,dirichlet,0.1,2,0,0,4.8847630942374005,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,191315200,239144,25
17,flwf2,mnist,50,dirichlet,0.1,2,0,0,4.7752487249500115,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,203272400,239144,25
18,flwf2,mnist,50,dirichlet,0.1,2,0,0,4.674966909634881,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,215229600,239144,25
19,flwf2,mnist,50,dirichlet,0.1,2,0,0,4.58792185326973,0.5056,0.9838489978595057,0.0,0.0,0.17383254474387985,0.9824868651488616,,227186800,239144,25
20,flwf2,mnist,50,dirichlet,0.1,2,0,1,4.5067426964599635,0.5055,0.9836544074722708,0.0,0.0001945903872349053,0.17383254474387985,0.9822922747616267,,239144000,239144,25
