round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,50,dirichlet,0.5,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,flwf2,mnist,50,dirichlet,0.5,1,1,0,5.966338179095089,0.5007,0.974314068884997,0.0,-0.9729519361743529,0.17383254474387985,0.9729519361743529,,11957200,239144,25
2,flwf2,mnist,50,dirichlet,0.5,1,0,0,7.5147885080511685,0.5052,0.9830706363105662,0.0,-0.008756567425569184,0.17383254474387985,0.9817085035999221,,23914400,239144,25
3,flwf2,mnist,50,dirichlet,0.5,1,0,0,7.900036722616246,0.5072,0.9869624440552637,0.0,-0.0038918077446974397,0.17383254474387985,0.9856003113446196,,35871600,239144,25
4,flwf2,mnist,50,dirichlet,0.5,1,0,0,7.85861317522598,0.508,0.9885191671531426,0.0,-0.0015567230978789093,0.17383254474387985,0.9871570344424985,,47828800,239144,25
5,flwf2,mnist,50,dirichlet,0.5,1,0,0,8.241703128540399,0.5094,0.9912434325744308,0.0,-0.00272426542128823,0.17383254474387985,0.9898812998637867,,59786000,239144,25
6,flwf2,mnist,50,dirichlet,0.5,1,0,0,8.058486707114312,0.5092,0.9908542517999611,0.0,0.00038918077446969956,0.17383254474387985,0.989492119089317,,71743200,239144,25
7,flwf2,mnist,50,dirichlet,0.5,1,0,0,8.033190871211223,0.5105,0.9933839268340144,0.0,-0.002140494259583625,0.17383254474387985,0.9920217941233703,,83700400,239144,25
8,flwf2,mnist,50,dirichlet,0.5,1,0,0,8.495559361907228,0.5108,0.993967697995719,0.0,-0.0005837711617046049,0.17383254474387985,0.9926055652850749,,95657600,239144,25
9,flwf2,mnist,50,dirichlet,0.5,1,0,0,8.446549596445372,0.5108,0.993967697995719,0.0,0.0,0.17383254474387985,0.9926055652850749,,107614800,239144,25
10,flwf2,mnist,50,dirichlet,0.5,1,0,1,8.075752452285922,0.5103,0.9929947460595446,0.0,0.0009729519361744154,0.17383254474387985,0.9916326133489005,,119572000,239144,25
11,flwf2,mnist,50,dirichlet,0.5,2,1,0,7.353789167771116,0.5103,0.9929947460595446,0.0,0.0009729519361744154,0.17383254474387985,0.9916326133489005,,131529200,239144,25
12,flwf2,mnist,50,dirichlet,0.5,2,0,0,6.837528167908115,0.5103,0.9929947460595446,0.0,0.0009729519361744154,0.17383254474387985,0.9916326133489005,,143486400,239144,25
13,flwf2,mnist,50,dirichlet,0.5,2,0,0,6.44205110757699,0.5103,0.9929947460595446,0.0,0.0009729519361744154,0.17383254474387985,0.9916326133489005,,155443600,239144,25
14,flwf2,mnist,50,dirichlet,0.5,2,0,0,6.120087210015557,0.5103,0.9929947460595446,0.0,0.0009729519361744154,0.17383254474387985,0.9916326133489005,,167400800,239144,25
15,flwf2,mnist,50,dirichlet,0.5,2,0,0,5.836498255033424,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,179358000,239144,25
16,flwf2,mnist,50,dirichlet,0.5,2,0,0,5.606251281530002,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,191315200,239144,25
17,flwf2,mnist,50,dirichlet,0.5,2,0,0,5.395392885942239,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,203272400,239144,25
18,flwf2,mnist,50,dirichlet,0.5,2,0,0,5.2101058889998235,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,215229600,239144,25
19,flwf2,mnist,50,dirichlet,0.5,2,0,0,5.058469005310244,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,227186800,239144,25
20,flwf2,mnist,50,dirichlet,0.5,2,0,1,4.9150839620888,0.5101,0.9926055652850749,0.0,0.001362132710644115,0.17383254474387985,0.9912434325744308,,239144000,239144,25
