round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,50,dirichlet,1.0,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,flwf2,mnist,50,dirichlet,1.0,1,1,0,7.509801743923873,0.5011,0.9750924304339366,0.0,-0.9737302977232924,0.17383254474387985,0.9737302977232924,,11957200,239144,25
2,flwf2,mnist,50,dirichlet,1.0,1,0,0,8.632355365922349,0.5057,0.9840435882467407,0.0,-0.00895115781280409,0.17383254474387985,0.9826814555360965,,23914400,239144,25
3,flwf2,mnist,50,dirichlet,1.0,1,0,0,8.9025149742882,0.5072,0.9869624440552637,0.0,-0.0029188558085230243,0.17383254474387985,0.9856003113446196,,35871600,239144,25
4,flwf2,mnist,50,dirichlet,1.0,1,0,0,8.888672617711837,0.5078,0.9881299863786729,0.0,-0.0011675423234092097,0.17383254474387985,0.9867678536680288,,47828800,239144,25
5,flwf2,mnist,50,dirichlet,1.0,1,0,0,9.132911092663859,0.5089,0.9902704806382565,0.0,-0.002140494259583625,0.17383254474387985,0.9889083479276124,,59786000,239144,25
6,flwf2,mnist,50,dirichlet,1.0,1,0,0,9.570474871051289,0.5093,0.9910488421871959,0.0,-0.0007783615489393991,0.17383254474387985,0.9896867094765518,,71743200,239144,25
7,flwf2,mnist,50,dirichlet,1.0,1,0,0,9.539933365681604,0.5102,0.9928001556723098,0.0,-0.0017513134851139256,0.17383254474387985,0.9914380229616657,,83700400,239144,25
8,flwf2,mnist,50,dirichlet,1.0,1,0,0,9.285156238430703,0.5103,0.9929947460595446,0.0,-0.00019459038723479427,0.17383254474387985,0.9916326133489005,,95657600,239144,25
9,flwf2,mnist,50,dirichlet,1.0,1,0,0,9.31246494085716,0.5103,0.9929947460595446,0.0,0.0,0.17383254474387985,0.9916326133489005,,107614800,239144,25
10,flwf2,mnist,50,dirichlet,1.0,1,0,1,9.333425391772083,0.5107,0.9937731076084841,0.0,-0.0007783615489395102,0.17383254474387985,0.99241097489784,,119572000,239144,25
11,flwf2,mnist,50,dirichlet,1.0,2,1,0,8.061688249822852,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,131529200,239144,25
12,flwf2,mnist,50,dirichlet,1.0,2,0,0,7.326181707251695,0.5106,0.9935785172212492,0.0,0.0001945903872349053,0.17383254474387985,0.9922163845106051,,143486400,239144,25
13,flwf2,mnist,50,dirichlet,1.0,2,0,0,6.796242590195057,0.5106,0.9935785172212492,0.0,0.0001945903872349053,0.17383254474387985,0.9922163845106051,,155443600,239144,25
14,flwf2,mnist,50,dirichlet,1.0,2,0,0,6.387759077750565,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,167400800,239144,25
15,flwf2,mnist,50,dirichlet,1.0,2,0,0,6.058125084607886,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,179358000,239144,25
16,flwf2,mnist,50,dirichlet,1.0,2,0,0,5.7902294967660275,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,191315200,239144,25
17,flwf2,mnist,50,dirichlet,1.0,2,0,0,5.5602681283877695,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,203272400,239144,25
18,flwf2,mnist,50,dirichlet,1.0,2,0,0,5.3500172528923375,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,215229600,239144,25
19,flwf2,mnist,50,dirichlet,1.0,2,0,0,5.17435812565927,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,227186800,239144,25
20,flwf2,mnist,50,dirichlet,1.0,2,0,1,5.006378364946978,0.5107,0.9937731076084841,0.0,0.0,0.17383254474387985,0.99241097489784,,239144000,239144,25
