round,method,dataset,num_clients,partition,dirichlet_alpha,task_id,task_start,task_end,global_test_loss,global_test_acc,task1_test_acc,task2_test_acc,forgetting_task1,forgetting_task2,bwt_task1,convergence_round_80,communication_cost_bytes_cum,model_bytes,sampled_clients_per_round
0,flwf2,mnist,50,iid,,1,0,0,2.3002485538482667,0.0852,0.0013621327106440942,0.17383254474387985,0.0,0.0,,,0,239144,25
1,flwf2,mnist,50,iid,,1,1,0,7.5756748057897205,0.5032,0.9791788285658688,0.0,-0.9778166958552247,0.17383254474387985,0.9778166958552247,,11957200,239144,25
2,flwf2,mnist,50,iid,,1,0,0,8.361101075663324,0.5059,0.9844327690212104,0.0,-0.005253940455341555,0.17383254474387985,0.9830706363105662,,23914400,239144,25
3,flwf2,mnist,50,iid,,1,0,0,8.624764599405067,0.5075,0.9875462152169683,0.0,-0.0031134461957579296,0.17383254474387985,0.9861840825063242,,35871600,239144,25
4,flwf2,mnist,50,iid,,1,0,0,9.095419788154505,0.5083,0.9891029383148473,0.0,-0.0015567230978790203,0.17383254474387985,0.9877408056042032,,47828800,239144,25
5,flwf2,mnist,50,iid,,1,0,0,8.93651092043625,0.509,0.9904650710254913,0.0,-0.001362132710644004,0.17383254474387985,0.9891029383148472,,59786000,239144,25
6,flwf2,mnist,50,iid,,1,0,0,9.602493069953129,0.51,0.99241097489784,0.0,-0.0019459038723487199,0.17383254474387985,0.9910488421871959,,71743200,239144,25
7,flwf2,mnist,50,iid,,1,0,0,8.92219581912246,0.5099,0.9922163845106052,0.0,0.00019459038723479427,0.17383254474387985,0.9908542517999611,,83700400,239144,25
8,flwf2,mnist,50,iid,,1,0,0,9.246887417559774,0.5106,0.9935785172212492,0.0,-0.0011675423234092097,0.17383254474387985,0.9922163845106051,,95657600,239144,25
9,flwf2,mnist,50,iid,,1,0,0,9.262941816656094,0.5109,0.9941622883829538,0.0,-0.0005837711617046049,0.17383254474387985,0.9928001556723097,,107614800,239144,25
10,flwf2,mnist,50,iid,,1,0,1,9.434125592869673,0.5109,0.9941622883829538,0.0,0.0,0.17383254474387985,0.9928001556723097,,119572000,239144,25
11,flwf2,mnist,50,iid,,2,1,0,8.174744808871742,0.511,0.9943568787701887,0.0,-0.0001945903872349053,0.17383254474387985,0.9929947460595446,,131529200,239144,25
12,flwf2,mnist,50,iid,,2,0,0,7.417681438618328,0.511,0.9943568787701887,0.0,0.0,0.17383254474387985,0.9929947460595446,,143486400,239144,25
13,flwf2,mnist,50,iid,,2,0,0,6.883082718205513,0.511,0.9943568787701887,0.0,0.0,0.17383254474387985,0.9929947460595446,,155443600,239144,25
14,flwf2,mnist,50,iid,,2,0,0,6.465983615495683,0.511,0.9943568787701887,0.0,0.0,0.17383254474387985,0.9929947460595446,,167400800,239144,25
15,flwf2,mnist,50,iid,,2,0,0,6.130540319583207,0.5109,0.9941622883829538,0.0,0.0001945903872349053,0.17383254474387985,0.9928001556723097,,179358000,239144,25
16,flwf2,mnist,50,iid,,2,0,0,5.849719293300168,0.5108,0.993967697995719,0.0,0.00038918077446969956,0.17383254474387985,0.9926055652850749,,191315200,239144,25
17,flwf2,mnist,50,iid,,2,0,0,5.609898625709978,0.5108,0.993967697995719,0.0,0.00038918077446969956,0.17383254474387985,0.9926055652850749,,203272400,239144,25
18,flwf2,mnist,50,iid,,2,0,0,5.397049487164739,0.5108,0.993967697995719,0.0,0.00038918077446969956,0.17383254474387985,0.9926055652850749,,215229600,239144,25
19,flwf2,mnist,50,iid,,2,0,0,5.209766002469155,0.5108,0.993967697995719,0.0,0.00038918077446969956,0.17383254474387985,0.9926055652850749,,227186800,239144,25
20,flwf2,mnist,50,iid,,2,0,1,5.042265726187636,0.5108,0.993967697995719,0.0,0.00038918077446969956,0.17383254474387985,0.9926055652850749,,239144000,239144,25
