run_id,run_tag,method,dataset,num_clients,partition,dirichlet_alpha,rounds,client_num_gpus,metrics_csv
aa25bf2b7deb,fedavg_mnist_C10_dirichlet_a0.01,fedavg,mnist,10,dirichlet,0.01,20,1.0,results/runs/fedavg_mnist_C10_dirichlet_a0.01_aa25bf2b7deb.csv
833e937fcbff,fedavg_mnist_C10_dirichlet_a0.1,fedavg,mnist,10,dirichlet,0.1,20,1.0,results/runs/fedavg_mnist_C10_dirichlet_a0.1_833e937fcbff.csv
9e51c9d4d5b9,fedavg_mnist_C10_dirichlet_a0.5,fedavg,mnist,10,dirichlet,0.5,20,1.0,results/runs/fedavg_mnist_C10_dirichlet_a0.5_9e51c9d4d5b9.csv
9aaa62f0523e,fedavg_mnist_C10_dirichlet_a1.0,fedavg,mnist,10,dirichlet,1.0,20,1.0,results/runs/fedavg_mnist_C10_dirichlet_a1.0_9aaa62f0523e.csv
580a26838652,fedavg_mnist_C50_iid,fedavg,mnist,50,iid,,20,1.0,results/runs/fedavg_mnist_C50_iid_580a26838652.csv
1fa03ab9f687,fedavg_mnist_C50_dirichlet_a0.01,fedavg,mnist,50,dirichlet,0.01,20,1.0,results/runs/fedavg_mnist_C50_dirichlet_a0.01_1fa03ab9f687.csv
061ca0b8068a,fedavg_mnist_C50_dirichlet_a0.1,fedavg,mnist,50,dirichlet,0.1,20,1.0,results/runs/fedavg_mnist_C50_dirichlet_a0.1_061ca0b8068a.csv
143dadf5b941,fedavg_mnist_C50_dirichlet_a0.5,fedavg,mnist,50,dirichlet,0.5,20,1.0,results/runs/fedavg_mnist_C50_dirichlet_a0.5_143dadf5b941.csv
239baad08ed3,fedavg_mnist_C50_dirichlet_a1.0,fedavg,mnist,50,dirichlet,1.0,20,1.0,results/runs/fedavg_mnist_C50_dirichlet_a1.0_239baad08ed3.csv
1d4981483afc,fedavg_mnist_C100_iid,fedavg,mnist,100,iid,,20,1.0,results/runs/fedavg_mnist_C100_iid_1d4981483afc.csv
dd1c9a325298,fedavg_mnist_C100_dirichlet_a0.01,fedavg,mnist,100,dirichlet,0.01,20,1.0,results/runs/fedavg_mnist_C100_dirichlet_a0.01_dd1c9a325298.csv
cb1e95228275,fedavg_mnist_C10_iid,fedavg,mnist,10,iid,,20,0.5,results/runs/fedavg_mnist_C10_iid_cb1e95228275.csv
b2b5839bf3ac,fedavg_mnist_C10_dirichlet_a0.01,fedavg,mnist,10,dirichlet,0.01,20,0.5,results/runs/fedavg_mnist_C10_dirichlet_a0.01_b2b5839bf3ac.csv
